Features,comp,Topic,k,Month,protos.random,n,comp1,comp2,Hop,protos,svm,diff,protos.diff,by
BoW,ER-C,AsylumSeekers,4,Apr,0.5976,10,ER,C,3,0.6742,0.7474,0.0732,0.0766,Ideology
BoW,ER-C,AsylumSeekers,4,Aug,0.6087,10,ER,C,3,0.6577,0.721,0.0633,0.049,Ideology
BoW,ER-C,AsylumSeekers,4,Feb,0.577,10,ER,C,3,0.6372,0.7341,0.0969,0.0601,Ideology
BoW,ER-C,AsylumSeekers,4,Jan,0.584,10,ER,C,3,0.6814,0.7587,0.0773,0.0974,Ideology
BoW,ER-C,AsylumSeekers,4,Jul,0.5801,10,ER,C,3,0.6529,0.7754,0.1225,0.0727,Ideology
BoW,ER-C,AsylumSeekers,4,Jun,0.5835,10,ER,C,3,0.6374,0.7103,0.0728,0.054,Ideology
BoW,ER-C,AsylumSeekers,4,Mar,0.5848,10,ER,C,3,0.7035,0.7998,0.0964,0.1187,Ideology
BoW,ER-C,AsylumSeekers,4,May,0.603,10,ER,C,3,0.7209,0.7916,0.0707,0.1179,Ideology
BoW,ER-C,AsylumSeekers,4,Sep,0.5818,10,ER,C,3,0.6674,0.7388,0.0714,0.0856,Ideology
BoW,ER-C,AsylumSeekers,8,Apr,0.5909,10,ER,C,3,0.6929,0.7474,0.0545,0.102,Ideology
BoW,ER-C,AsylumSeekers,8,Aug,0.6331,10,ER,C,3,0.6746,0.721,0.0464,0.0415,Ideology
BoW,ER-C,AsylumSeekers,8,Feb,0.6233,10,ER,C,3,0.6926,0.7341,0.0415,0.0693,Ideology
BoW,ER-C,AsylumSeekers,8,Jan,0.6215,10,ER,C,3,0.7155,0.7587,0.0432,0.094,Ideology
BoW,ER-C,AsylumSeekers,8,Jul,0.6178,10,ER,C,3,0.6886,0.7754,0.0868,0.0708,Ideology
BoW,ER-C,AsylumSeekers,8,Jun,0.6018,10,ER,C,3,0.6285,0.7103,0.0818,0.0267,Ideology
BoW,ER-C,AsylumSeekers,8,Mar,0.6404,10,ER,C,3,0.7253,0.7998,0.0746,0.0849,Ideology
BoW,ER-C,AsylumSeekers,8,May,0.6654,10,ER,C,3,0.7352,0.7916,0.0564,0.0699,Ideology
BoW,ER-C,AsylumSeekers,8,Sep,0.6176,10,ER,C,3,0.6727,0.7388,0.0661,0.0551,Ideology
BoW,ER-C,AsylumSeekers,16,Apr,0.6336,10,ER,C,3,0.7221,0.7474,0.0254,0.0885,Ideology
BoW,ER-C,AsylumSeekers,16,Aug,0.6456,10,ER,C,3,0.7087,0.721,0.0123,0.0631,Ideology
BoW,ER-C,AsylumSeekers,16,Feb,0.6131,10,ER,C,3,0.7151,0.7341,0.019,0.102,Ideology
BoW,ER-C,AsylumSeekers,16,Jan,0.6775,10,ER,C,3,0.7273,0.7587,0.0314,0.0498,Ideology
BoW,ER-C,AsylumSeekers,16,Jul,0.6374,10,ER,C,3,0.6975,0.7754,0.0779,0.0601,Ideology
BoW,ER-C,AsylumSeekers,16,Jun,0.6246,10,ER,C,3,0.6891,0.7103,0.0212,0.0644,Ideology
BoW,ER-C,AsylumSeekers,16,Mar,0.7124,10,ER,C,3,0.756,0.7998,0.0439,0.0435,Ideology
BoW,ER-C,AsylumSeekers,16,May,0.703,10,ER,C,3,0.7688,0.7916,0.0228,0.0659,Ideology
BoW,ER-C,AsylumSeekers,16,Sep,0.6735,10,ER,C,3,0.7273,0.7388,0.0115,0.0539,Ideology
BoW,ER-C,AsylumSeekers,32,Apr,0.6724,10,ER,C,3,0.7157,0.7474,0.0317,0.0433,Ideology
BoW,ER-C,AsylumSeekers,32,Aug,0.6862,10,ER,C,3,0.7373,0.721,-0.0163,0.0511,Ideology
BoW,ER-C,AsylumSeekers,32,Feb,0.6846,10,ER,C,3,0.7557,0.7341,-0.0216,0.0711,Ideology
BoW,ER-C,AsylumSeekers,32,Jan,0.7035,10,ER,C,3,0.741,0.7587,0.0176,0.0375,Ideology
BoW,ER-C,AsylumSeekers,32,Jul,0.6907,10,ER,C,3,0.7184,0.7754,0.057,0.0277,Ideology
BoW,ER-C,AsylumSeekers,32,Jun,0.6582,10,ER,C,3,0.713,0.7103,-0.0027,0.0548,Ideology
BoW,ER-C,AsylumSeekers,32,Mar,0.7301,10,ER,C,3,0.7772,0.7998,0.0226,0.0471,Ideology
BoW,ER-C,AsylumSeekers,32,May,0.7514,10,ER,C,3,0.793,0.7916,-0.0014,0.0416,Ideology
BoW,ER-C,AsylumSeekers,32,Sep,0.6937,10,ER,C,3,0.7377,0.7388,0.0011,0.0439,Ideology
BoW,ER-C,ClimateChange,4,Apr,0.5946,10,ER,C,3,0.6567,0.6749,0.0182,0.0621,Ideology
BoW,ER-C,ClimateChange,4,Aug,0.5674,10,ER,C,3,0.7018,0.7871,0.0854,0.1343,Ideology
BoW,ER-C,ClimateChange,4,Feb,0.5982,10,ER,C,3,0.6598,0.7208,0.0611,0.0616,Ideology
BoW,ER-C,ClimateChange,4,Jan,0.57,10,ER,C,3,0.6494,0.7187,0.0693,0.0794,Ideology
BoW,ER-C,ClimateChange,4,Jul,0.6028,10,ER,C,3,0.6785,0.7449,0.0665,0.0757,Ideology
BoW,ER-C,ClimateChange,4,Jun,0.5688,10,ER,C,3,0.642,0.7256,0.0836,0.0733,Ideology
BoW,ER-C,ClimateChange,4,Mar,0.5705,10,ER,C,3,0.6562,0.705,0.0488,0.0857,Ideology
BoW,ER-C,ClimateChange,4,May,0.5625,10,ER,C,3,0.6499,0.6965,0.0466,0.0874,Ideology
BoW,ER-C,ClimateChange,4,Sep,0.5575,10,ER,C,3,0.6833,0.7723,0.089,0.1258,Ideology
BoW,ER-C,ClimateChange,8,Apr,0.6094,10,ER,C,3,0.6741,0.6749,8e-04,0.0647,Ideology
BoW,ER-C,ClimateChange,8,Aug,0.6403,10,ER,C,3,0.7375,0.7871,0.0496,0.0971,Ideology
BoW,ER-C,ClimateChange,8,Feb,0.6219,10,ER,C,3,0.6784,0.7208,0.0424,0.0565,Ideology
BoW,ER-C,ClimateChange,8,Jan,0.6423,10,ER,C,3,0.688,0.7187,0.0306,0.0458,Ideology
BoW,ER-C,ClimateChange,8,Jul,0.6177,10,ER,C,3,0.7121,0.7449,0.0328,0.0944,Ideology
BoW,ER-C,ClimateChange,8,Jun,0.6201,10,ER,C,3,0.6801,0.7256,0.0455,0.06,Ideology
BoW,ER-C,ClimateChange,8,Mar,0.5762,10,ER,C,3,0.6694,0.705,0.0356,0.0932,Ideology
BoW,ER-C,ClimateChange,8,May,0.6028,10,ER,C,3,0.6735,0.6965,0.023,0.0707,Ideology
BoW,ER-C,ClimateChange,8,Sep,0.5867,10,ER,C,3,0.6876,0.7723,0.0847,0.1009,Ideology
BoW,ER-C,ClimateChange,16,Apr,0.6645,10,ER,C,3,0.6927,0.6749,-0.0178,0.0282,Ideology
BoW,ER-C,ClimateChange,16,Aug,0.6769,10,ER,C,3,0.7659,0.7871,0.0212,0.089,Ideology
BoW,ER-C,ClimateChange,16,Feb,0.6588,10,ER,C,3,0.6873,0.7208,0.0335,0.0285,Ideology
BoW,ER-C,ClimateChange,16,Jan,0.6593,10,ER,C,3,0.7114,0.7187,0.0073,0.0521,Ideology
BoW,ER-C,ClimateChange,16,Jul,0.6796,10,ER,C,3,0.7735,0.7449,-0.0286,0.0939,Ideology
BoW,ER-C,ClimateChange,16,Jun,0.6822,10,ER,C,3,0.719,0.7256,0.0066,0.0369,Ideology
BoW,ER-C,ClimateChange,16,Mar,0.6331,10,ER,C,3,0.701,0.705,0.004,0.0679,Ideology
BoW,ER-C,ClimateChange,16,May,0.6285,10,ER,C,3,0.7078,0.6965,-0.0113,0.0793,Ideology
BoW,ER-C,ClimateChange,16,Sep,0.6435,10,ER,C,3,0.7282,0.7723,0.0441,0.0847,Ideology
BoW,ER-C,ClimateChange,32,Apr,0.6862,10,ER,C,3,0.7105,0.6749,-0.0356,0.0243,Ideology
BoW,ER-C,ClimateChange,32,Aug,0.715,10,ER,C,3,0.7854,0.7871,0.0017,0.0704,Ideology
BoW,ER-C,ClimateChange,32,Feb,0.6809,10,ER,C,3,0.7214,0.7208,-6e-04,0.0405,Ideology
BoW,ER-C,ClimateChange,32,Jan,0.705,10,ER,C,3,0.7216,0.7187,-0.003,0.0167,Ideology
BoW,ER-C,ClimateChange,32,Jul,0.6946,10,ER,C,3,0.7627,0.7449,-0.0178,0.0682,Ideology
BoW,ER-C,ClimateChange,32,Jun,0.6958,10,ER,C,3,0.7324,0.7256,-0.0068,0.0366,Ideology
BoW,ER-C,ClimateChange,32,Mar,0.6677,10,ER,C,3,0.7262,0.705,-0.0212,0.0586,Ideology
BoW,ER-C,ClimateChange,32,May,0.6811,10,ER,C,3,0.7077,0.6965,-0.0112,0.0265,Ideology
