topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
IllegalImmi,ER_RC,0,Jan,375,327,126,109,0.7641,0.8124,1991,1.70
IllegalImmi,ER_R,0,Jan,376,652,125,218,0.6347,0.6772,1994,2.60
IllegalImmi,ER_R,1,Jan,376,652,125,218,0.6469,0.6549,1998,2.63
IllegalImmi,ER_R,2,Jan,376,652,125,218,0.6449,0.6149,1998,2.66
IllegalImmi,ER_R,3,Jan,376,652,125,218,0.6551,0.6229,2000,2.62
IllegalImmi,ER_R,4,Jan,376,652,125,218,0.6701,0.6097,1998,2.75
IllegalImmi,ER_R,5,Jan,376,652,125,218,0.6556,0.6229,1999,2.70
IllegalImmi,ER_R,7,Jan,376,652,125,218,0.6364,0.6577,1996,2.63
IllegalImmi,ER_R,6,Jan,376,652,125,218,0.6393,0.6533,2000,2.74
IllegalImmi,ER_R,9,Jan,376,652,125,218,0.6308,0.6446,1999,2.64
IllegalImmi,ER_R,8,Jan,376,652,125,218,0.6216,0.6961,2000,2.72
IllegalImmi,ER_RC,1,Jan,375,327,126,109,0.7813,0.7619,1994,1.56
IllegalImmi,ER_RC,2,Jan,375,327,126,109,0.7516,0.7498,1988,1.60
IllegalImmi,ER_RC,3,Jan,375,327,126,109,0.7688,0.7855,1994,1.63
IllegalImmi,ER_RC,5,Jan,375,327,126,109,0.7699,0.7903,1992,1.57
IllegalImmi,ER_RC,4,Jan,375,327,126,109,0.7898,0.7882,1994,1.64
IllegalImmi,ER_RC,6,Jan,375,327,126,109,0.7819,0.8179,1997,1.50
IllegalImmi,ER_RC,9,Jan,375,327,126,109,0.7678,0.7751,1996,1.56
IllegalImmi,ER_RC,7,Jan,375,327,126,109,0.7824,0.7693,1994,1.64
IllegalImmi,ER_RC,8,Jan,375,327,126,109,0.7601,0.8091,1997,1.67
IllegalImmi,ER_LC,1,Jan,376,1134,125,379,0.8061,0.798,2000,2.90
IllegalImmi,ER_LC,0,Jan,376,1134,125,379,0.7928,0.8193,2000,3.00
IllegalImmi,ER_L,0,Jan,376,259,125,87,0.739,0.812,1994,1.59
IllegalImmi,ER_LC,2,Jan,376,1134,125,379,0.7951,0.8261,2000,2.96
IllegalImmi,ER_LC,3,Jan,376,1134,125,379,0.8129,0.8072,1998,2.99
IllegalImmi,ER_LC,4,Jan,376,1134,125,379,0.8127,0.7782,2000,2.88
IllegalImmi,ER_LC,5,Jan,376,1134,125,379,0.8011,0.8194,1999,2.98
IllegalImmi,ER_LC,6,Jan,376,1134,125,379,0.8178,0.8007,2000,3.01
IllegalImmi,ER_LC,7,Jan,376,1134,125,379,0.8014,0.8168,2000,3.01
IllegalImmi,ER_LC,8,Jan,376,1134,125,379,0.7893,0.8195,1999,3.03
IllegalImmi,ER_L,1,Jan,376,259,125,87,0.7731,0.776,1991,1.66
IllegalImmi,ER_L,2,Jan,376,259,125,87,0.7558,0.7748,1993,1.71
IllegalImmi,ER_LC,9,Jan,376,1134,125,379,0.801,0.834,2000,3.11
IllegalImmi,ER_L,3,Jan,376,259,125,87,0.7739,0.7261,1994,1.53
IllegalImmi,ER_L,4,Jan,376,259,125,87,0.7758,0.7558,1994,1.59
IllegalImmi,ER_L,6,Jan,376,259,125,87,0.7766,0.7726,1997,1.65
IllegalImmi,ER_L,5,Jan,376,259,125,87,0.7664,0.7811,1998,1.73
IllegalImmi,ER_L,7,Jan,376,259,125,87,0.7646,0.7731,1993,1.59
IllegalImmi,ER_L,8,Jan,376,259,125,87,0.7606,0.796,1995,1.57
IllegalImmi,ER_L,9,Jan,376,259,125,87,0.7682,0.78,1997,1.63
IllegalImmi,R_RC,1,Jan,652,327,218,109,0.6863,0.6743,1998,2.43
IllegalImmi,R_RC,0,Jan,652,327,218,109,0.689,0.7385,1998,2.51
IllegalImmi,R_RC,3,Jan,652,327,218,109,0.6572,0.7041,1998,2.40
IllegalImmi,R_RC,2,Jan,652,327,218,109,0.6688,0.6995,1999,2.45
IllegalImmi,R_RC,4,Jan,652,327,218,109,0.6855,0.6835,1999,2.44
IllegalImmi,R_RC,5,Jan,652,327,218,109,0.6878,0.7018,2000,2.44
IllegalImmi,C_ER,0,Jan,492,375,164,126,0.7917,0.7852,1995,2.08
IllegalImmi,R_RC,6,Jan,652,327,218,109,0.6777,0.7156,1996,2.42
IllegalImmi,R_RC,8,Jan,652,327,218,109,0.6811,0.6743,2000,2.39
IllegalImmi,R_RC,7,Jan,652,327,218,109,0.6964,0.6628,1999,2.48
IllegalImmi,R_RC,9,Jan,652,327,218,109,0.6766,0.6651,1999,2.40
IllegalImmi,C_ER,2,Jan,492,375,164,126,0.7693,0.7767,1998,2.04
IllegalImmi,C_ER,1,Jan,492,375,164,126,0.7669,0.809,1999,2.16
IllegalImmi,C_ER,4,Jan,492,375,164,126,0.7891,0.7709,1998,2.03
IllegalImmi,C_ER,5,Jan,492,375,164,126,0.7784,0.7798,1999,2.02
IllegalImmi,C_ER,3,Jan,492,375,164,126,0.7677,0.7993,1996,2.13
IllegalImmi,C_ER,6,Jan,492,375,164,126,0.7856,0.7684,2000,2.04
IllegalImmi,C_ER,7,Jan,492,375,164,126,0.7797,0.7627,1997,1.98
IllegalImmi,C_ER,8,Jan,492,375,164,126,0.7493,0.8176,1996,2.05
IllegalImmi,C_ER,9,Jan,492,375,164,126,0.7779,0.7538,1999,2.09
IllegalImmi,C_R,0,Jan,492,652,164,218,0.7192,0.7214,1998,3.10
IllegalImmi,C_R,1,Jan,492,652,164,218,0.7033,0.6809,2000,3.07
IllegalImmi,C_R,2,Jan,492,652,164,218,0.7063,0.6986,2000,3.02
IllegalImmi,C_R,3,Jan,492,652,164,218,0.7022,0.7344,1998,2.96
