topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
IllegalImmi,ER_R,2,Jan,376,652,125,218,0.6512,0.6915,768,13.91
IllegalImmi,ER_R,3,Jan,376,652,125,218,0.6687,0.6372,768,14.09
IllegalImmi,ER_R,7,Jan,376,652,125,218,0.6636,0.703,768,16.08
IllegalImmi,ER_R,1,Jan,376,652,125,218,0.65,0.6789,768,16.77
IllegalImmi,ER_R,6,Jan,376,652,125,218,0.6504,0.6686,768,16.80
IllegalImmi,ER_R,0,Jan,376,652,125,218,0.6454,0.6583,768,16.94
IllegalImmi,ER_R,4,Jan,376,652,125,218,0.6661,0.6732,768,17.22
IllegalImmi,ER_R,5,Jan,376,652,125,218,0.6806,0.6835,768,17.58
IllegalImmi,ER_R,8,Jan,376,652,125,218,0.6411,0.7075,768,17.67
IllegalImmi,ER_R,9,Jan,376,652,125,218,0.6412,0.6584,768,18.08
IllegalImmi,ER_RC,0,Jan,375,327,126,109,0.7931,0.8253,768,25.32
IllegalImmi,ER_LC,0,Jan,376,1134,125,379,0.8495,0.8524,768,12.79
IllegalImmi,ER_RC,7,Jan,375,327,126,109,0.7917,0.8179,768,14.47
IllegalImmi,ER_RC,6,Jan,375,327,126,109,0.7805,0.8051,768,16.56
IllegalImmi,ER_RC,2,Jan,375,327,126,109,0.782,0.8387,768,21.15
IllegalImmi,ER_RC,1,Jan,375,327,126,109,0.811,0.7955,768,22.35
IllegalImmi,ER_LC,1,Jan,376,1134,125,379,0.8384,0.8446,768,12.05
IllegalImmi,ER_RC,4,Jan,375,327,126,109,0.8153,0.8237,768,22.14
IllegalImmi,ER_RC,5,Jan,375,327,126,109,0.8166,0.7736,768,24.31
IllegalImmi,ER_RC,9,Jan,375,327,126,109,0.7793,0.8316,768,24.65
IllegalImmi,ER_RC,3,Jan,375,327,126,109,0.7758,0.8307,768,26.73
IllegalImmi,ER_LC,2,Jan,376,1134,125,379,0.8256,0.8698,768,12.87
IllegalImmi,ER_LC,3,Jan,376,1134,125,379,0.842,0.8298,768,13.33
IllegalImmi,ER_RC,8,Jan,375,327,126,109,0.7826,0.8441,768,28.21
IllegalImmi,ER_LC,4,Jan,376,1134,125,379,0.8469,0.8607,768,12.79
IllegalImmi,ER_LC,5,Jan,376,1134,125,379,0.8528,0.85,768,12.62
IllegalImmi,ER_LC,6,Jan,376,1134,125,379,0.8354,0.8711,768,11.93
IllegalImmi,ER_LC,7,Jan,376,1134,125,379,0.8394,0.8525,768,12.64
