topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
IllegalImmi,ER_R,2,Jan,376,652,125,218,0.613,0.6291,1024,16.56
IllegalImmi,ER_R,0,Jan,376,652,125,218,0.6136,0.6211,1024,17.37
IllegalImmi,ER_R,5,Jan,376,652,125,218,0.6291,0.6354,1024,17.76
IllegalImmi,ER_LC,1,Jan,376,1134,125,379,0.808,0.7862,1024,18.43
IllegalImmi,ER_R,1,Jan,376,652,125,218,0.6235,0.6216,1024,19.19
IllegalImmi,ER_LC,2,Jan,376,1134,125,379,0.7934,0.7822,1024,19.44
IllegalImmi,ER_R,3,Jan,376,652,125,218,0.6207,0.612,1024,20.04
IllegalImmi,ER_R,7,Jan,376,652,125,218,0.6287,0.5925,1024,20.29
IllegalImmi,ER_R,8,Jan,376,652,125,218,0.6142,0.6572,1024,20.38
IllegalImmi,ER_R,9,Jan,376,652,125,218,0.6239,0.6309,1024,21.66
IllegalImmi,ER_LC,0,Jan,376,1134,125,379,0.7725,0.8114,1024,23.88
IllegalImmi,ER_R,4,Jan,376,652,125,218,0.6331,0.5897,1024,25.65
IllegalImmi,ER_RC,7,Jan,375,327,126,109,0.7595,0.7488,1024,26.46
IllegalImmi,ER_RC,6,Jan,375,327,126,109,0.7311,0.7809,1024,27.48
IllegalImmi,ER_R,6,Jan,376,652,125,218,0.6274,0.6348,1024,28.20
IllegalImmi,ER_RC,8,Jan,375,327,126,109,0.7375,0.7592,1024,30.23
IllegalImmi,ER_RC,5,Jan,375,327,126,109,0.7324,0.758,1024,33.33
IllegalImmi,ER_LC,4,Jan,376,1134,125,379,0.7908,0.789,1024,17.37
IllegalImmi,ER_RC,2,Jan,375,327,126,109,0.7203,0.7642,1024,34.91
IllegalImmi,ER_RC,3,Jan,375,327,126,109,0.735,0.7446,1024,34.93
IllegalImmi,ER_RC,1,Jan,375,327,126,109,0.7604,0.7378,1024,35.18
IllegalImmi,ER_RC,4,Jan,375,327,126,109,0.7294,0.7669,1024,35.18
IllegalImmi,ER_RC,9,Jan,375,327,126,109,0.7276,0.7388,1024,35.40
IllegalImmi,ER_LC,3,Jan,376,1134,125,379,0.785,0.7993,1024,20.09
IllegalImmi,ER_LC,6,Jan,376,1134,125,379,0.8071,0.7994,1024,18.35
IllegalImmi,ER_LC,5,Jan,376,1134,125,379,0.7737,0.8129,1024,21.20
IllegalImmi,ER_LC,9,Jan,376,1134,125,379,0.7829,0.8074,1024,20.25
IllegalImmi,ER_RC,0,Jan,375,327,126,109,0.7429,0.7807,1024,40.77
IllegalImmi,ER_LC,8,Jan,376,1134,125,379,0.7842,0.814,1024,21.59
IllegalImmi,ER_LC,7,Jan,376,1134,125,379,0.7902,0.7742,1024,22.92
IllegalImmi,ER_L,2,Jan,376,259,125,87,0.7579,0.7651,1024,32.42
IllegalImmi,ER_L,0,Jan,376,259,125,87,0.7463,0.7673,1024,33.94
IllegalImmi,ER_L,1,Jan,376,259,125,87,0.7545,0.7748,1024,35.16
IllegalImmi,ER_L,3,Jan,376,259,125,87,0.7681,0.7633,1024,32.54
IllegalImmi,ER_L,7,Jan,376,259,125,87,0.7769,0.7656,1024,30.90
IllegalImmi,ER_L,4,Jan,376,259,125,87,0.783,0.7433,1024,33.50
IllegalImmi,ER_L,6,Jan,376,259,125,87,0.7764,0.776,1024,36.73
IllegalImmi,ER_L,5,Jan,376,259,125,87,0.764,0.7913,1024,38.18
IllegalImmi,ER_L,9,Jan,376,259,125,87,0.7905,0.7288,1024,39.19
IllegalImmi,ER_L,8,Jan,376,259,125,87,0.7479,0.7598,1024,43.89
IllegalImmi,C_ER,1,Jan,492,375,164,126,0.7549,0.7974,1024,40.12
IllegalImmi,C_R,0,Jan,492,652,164,218,0.7062,0.703,1024,21.64
IllegalImmi,R_RC,7,Jan,652,327,218,109,0.7024,0.617,1024,52.88
IllegalImmi,C_ER,7,Jan,492,375,164,126,0.774,0.7523,1024,32.75
IllegalImmi,C_ER,0,Jan,492,375,164,126,0.7733,0.7788,1024,52.95
IllegalImmi,C_ER,2,Jan,492,375,164,126,0.7626,0.7877,1024,53.05
