topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
LGBT,ER_RC,0,Jan,65,115,22,38,0.6221,0.7201,1545,0.30
LGBT,ER_R,1,Jan,65,177,22,59,0.6112,0.5601,1944,0.54
LGBT,ER_R,2,Jan,65,177,22,59,0.6058,0.614,1935,0.58
LGBT,ER_R,0,Jan,65,177,22,59,0.6184,0.5917,1924,0.62
LGBT,ER_R,3,Jan,65,177,22,59,0.5992,0.5458,1934,0.60
LGBT,ER_R,4,Jan,65,177,22,59,0.6414,0.5374,1919,0.60
LGBT,ER_R,7,Jan,65,177,22,59,0.588,0.5743,1936,0.55
LGBT,ER_R,8,Jan,65,177,22,59,0.5851,0.5516,1933,0.56
LGBT,ER_R,5,Jan,65,177,22,59,0.6109,0.5231,1927,0.62
LGBT,ER_R,6,Jan,65,177,22,59,0.5723,0.6025,1929,0.61
LGBT,ER_RC,1,Jan,65,115,22,38,0.6759,0.7165,1567,0.24
LGBT,ER_R,9,Jan,65,177,22,59,0.657,0.5743,1922,0.64
LGBT,ER_RC,2,Jan,65,115,22,38,0.6318,0.762,1590,0.26
LGBT,ER_RC,4,Jan,65,115,22,38,0.6656,0.6065,1571,0.23
LGBT,ER_RC,3,Jan,65,115,22,38,0.706,0.7297,1580,0.26
LGBT,ER_RC,5,Jan,65,115,22,38,0.6853,0.7333,1571,0.24
LGBT,ER_RC,7,Jan,65,115,22,38,0.6973,0.7033,1577,0.25
LGBT,ER_RC,6,Jan,65,115,22,38,0.6492,0.6914,1576,0.26
LGBT,ER_RC,9,Jan,65,115,22,38,0.6973,0.7237,1569,0.23
LGBT,ER_RC,8,Jan,65,115,22,38,0.6338,0.701,1563,0.25
LGBT,ER_LC,0,Jan,65,679,22,227,0.6607,0.717,1995,1.47
LGBT,ER_LC,1,Jan,65,679,22,227,0.6171,0.703,1995,1.45
LGBT,ER_LC,2,Jan,65,679,22,227,0.5955,0.703,1997,1.45
LGBT,ER_LC,3,Jan,65,679,22,227,0.6538,0.6481,1997,1.57
LGBT,ER_LC,4,Jan,65,679,22,227,0.6468,0.6459,1997,1.53
LGBT,ER_LC,5,Jan,65,679,22,227,0.6292,0.6048,1998,1.51
LGBT,ER_LC,6,Jan,65,679,22,227,0.6007,0.662,1992,1.47
LGBT,ER_LC,7,Jan,65,679,22,227,0.6156,0.6554,1995,1.47
LGBT,ER_LC,8,Jan,65,679,22,227,0.6443,0.5777,1998,1.54
LGBT,ER_LC,9,Jan,65,679,22,227,0.6637,0.6165,1996,1.53
LGBT,ER_L,0,Jan,65,685,22,229,0.6503,0.6622,1997,1.48
LGBT,R_RC,0,Jan,177,114,59,39,0.6234,0.6419,1970,0.44
LGBT,R_RC,1,Jan,177,114,59,39,0.6049,0.6675,1966,0.52
LGBT,R_RC,2,Jan,177,114,59,39,0.6299,0.6037,1960,0.52
LGBT,R_RC,3,Jan,177,114,59,39,0.6027,0.7058,1959,0.49
LGBT,ER_L,2,Jan,65,685,22,229,0.5649,0.712,1994,1.50
LGBT,ER_L,1,Jan,65,685,22,229,0.6213,0.6211,1999,1.56
LGBT,ER_L,3,Jan,65,685,22,229,0.6601,0.5874,1996,1.54
LGBT,ER_L,5,Jan,65,685,22,229,0.6411,0.594,1996,1.41
LGBT,ER_L,4,Jan,65,685,22,229,0.6686,0.6167,1997,1.55
LGBT,ER_L,6,Jan,65,685,22,229,0.6213,0.6482,1995,1.47
LGBT,ER_L,7,Jan,65,685,22,229,0.6228,0.6145,1997,1.49
LGBT,R_RC,4,Jan,177,114,59,39,0.6242,0.6423,1965,0.45
LGBT,ER_L,8,Jan,65,685,22,229,0.6656,0.6123,1992,1.52
