topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
LGBT,ER_RC,0,Jan,65,115,22,38,0.7615,0.7261,768,5.19
LGBT,ER_R,8,Jan,65,177,22,59,0.6347,0.5578,768,7.08
LGBT,ER_R,7,Jan,65,177,22,59,0.6587,0.6005,768,7.24
LGBT,ER_R,2,Jan,65,177,22,59,0.6028,0.6229,768,7.50
LGBT,ER_R,5,Jan,65,177,22,59,0.5887,0.6113,768,7.53
LGBT,ER_R,1,Jan,65,177,22,59,0.627,0.6287,768,7.58
LGBT,ER_R,3,Jan,65,177,22,59,0.6249,0.589,768,7.58
LGBT,ER_R,9,Jan,65,177,22,59,0.6608,0.5832,768,7.60
LGBT,ER_R,6,Jan,65,177,22,59,0.5707,0.6853,768,7.62
LGBT,ER_R,4,Jan,65,177,22,59,0.5909,0.6175,768,7.63
LGBT,ER_R,0,Jan,65,177,22,59,0.5523,0.7053,768,7.69
LGBT,ER_RC,1,Jan,65,115,22,38,0.7231,0.8074,768,4.63
LGBT,ER_RC,6,Jan,65,115,22,38,0.8107,0.762,768,4.05
LGBT,ER_RC,3,Jan,65,115,22,38,0.7746,0.7189,768,4.56
LGBT,ER_RC,5,Jan,65,115,22,38,0.7823,0.6567,768,4.33
LGBT,ER_RC,2,Jan,65,115,22,38,0.7264,0.8074,768,5.01
LGBT,ER_RC,8,Jan,65,115,22,38,0.7672,0.7129,768,4.50
LGBT,ER_RC,4,Jan,65,115,22,38,0.7769,0.7356,768,4.71
LGBT,ER_RC,9,Jan,65,115,22,38,0.7525,0.6938,768,4.63
LGBT,ER_RC,7,Jan,65,115,22,38,0.7308,0.8002,768,4.74
LGBT,ER_LC,0,Jan,65,679,22,227,0.7704,0.7235,768,13.66
LGBT,ER_LC,1,Jan,65,679,22,227,0.7689,0.8313,768,14.44
LGBT,ER_LC,2,Jan,65,679,22,227,0.747,0.8137,768,12.80
LGBT,ER_LC,5,Jan,65,679,22,227,0.7847,0.7991,768,14.15
LGBT,ER_LC,6,Jan,65,679,22,227,0.7473,0.7199,768,13.90
LGBT,ER_LC,8,Jan,65,679,22,227,0.7876,0.7199,768,13.82
