topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
LGBT,ER_RC,0,Jan,65,115,22,38,0.7341,0.6675,768,5.73
LGBT,ER_R,9,Jan,65,177,22,59,0.6668,0.5917,768,8.24
LGBT,ER_R,3,Jan,65,177,22,59,0.5808,0.6229,768,8.59
LGBT,ER_R,5,Jan,65,177,22,59,0.5691,0.5971,768,8.69
LGBT,ER_R,8,Jan,65,177,22,59,0.5884,0.5632,768,8.88
LGBT,ER_R,1,Jan,65,177,22,59,0.595,0.6256,768,9.03
LGBT,ER_R,4,Jan,65,177,22,59,0.5733,0.5747,768,9.11
LGBT,ER_R,7,Jan,65,177,22,59,0.5943,0.6059,768,9.28
LGBT,ER_R,2,Jan,65,177,22,59,0.5791,0.6002,768,9.72
LGBT,ER_R,6,Jan,65,177,22,59,0.5659,0.5686,768,11.15
LGBT,ER_R,0,Jan,65,177,22,59,0.5544,0.6002,768,11.33
LGBT,ER_RC,1,Jan,65,115,22,38,0.6946,0.7943,768,5.75
LGBT,ER_RC,2,Jan,65,115,22,38,0.7331,0.8206,768,5.60
LGBT,ER_RC,4,Jan,65,115,22,38,0.7809,0.7033,768,5.18
LGBT,ER_RC,3,Jan,65,115,22,38,0.7766,0.7129,768,5.33
LGBT,ER_RC,5,Jan,65,115,22,38,0.7559,0.7584,768,5.05
LGBT,ER_RC,7,Jan,65,115,22,38,0.7221,0.8038,768,4.96
LGBT,ER_RC,6,Jan,65,115,22,38,0.7823,0.7261,768,5.12
LGBT,ER_RC,8,Jan,65,115,22,38,0.7669,0.6483,768,5.08
LGBT,ER_RC,9,Jan,65,115,22,38,0.7559,0.6711,768,5.54
LGBT,ER_LC,0,Jan,65,679,22,227,0.7405,0.6993,768,20.76
LGBT,ER_LC,1,Jan,65,679,22,227,0.6661,0.703,768,20.75
LGBT,ER_LC,2,Jan,65,679,22,227,0.6929,0.7719,768,20.58
LGBT,ER_LC,6,Jan,65,679,22,227,0.6885,0.6349,768,19.94
LGBT,ER_LC,5,Jan,65,679,22,227,0.7276,0.6891,768,20.68
LGBT,ER_LC,8,Jan,65,679,22,227,0.7167,0.6532,768,20.50
LGBT,ER_LC,4,Jan,65,679,22,227,0.7098,0.7059,768,21.61
LGBT,ER_LC,3,Jan,65,679,22,227,0.7053,0.7558,768,21.81
LGBT,ER_LC,7,Jan,65,679,22,227,0.7182,0.8284,768,22.57
LGBT,ER_LC,9,Jan,65,679,22,227,0.7266,0.7309,768,22.56
LGBT,ER_L,0,Jan,65,685,22,229,0.6639,0.7216,768,24.87
LGBT,R_RC,0,Jan,177,114,59,39,0.5966,0.6082,768,11.59
LGBT,R_RC,1,Jan,177,114,59,39,0.596,0.6593,768,12.25
LGBT,ER_L,3,Jan,65,685,22,229,0.7203,0.7063,768,22.10
LGBT,ER_L,5,Jan,65,685,22,229,0.7455,0.608,768,20.42
LGBT,ER_L,2,Jan,65,685,22,229,0.6229,0.8265,768,23.34
LGBT,ER_L,1,Jan,65,685,22,229,0.6748,0.7627,768,24.44
LGBT,ER_L,6,Jan,65,685,22,229,0.6668,0.7172,768,22.27
LGBT,ER_L,4,Jan,65,685,22,229,0.7085,0.754,768,23.07
LGBT,ER_L,9,Jan,65,685,22,229,0.6994,0.7129,768,20.56
LGBT,ER_L,7,Jan,65,685,22,229,0.6979,0.716,768,23.29
LGBT,ER_L,8,Jan,65,685,22,229,0.6631,0.6211,768,24.05
LGBT,R_RC,2,Jan,177,114,59,39,0.5806,0.5698,768,12.08
LGBT,C_ER,0,Jan,180,65,60,22,0.7558,0.7742,768,6.48
LGBT,R_RC,3,Jan,177,114,59,39,0.6059,0.6504,768,12.33
LGBT,R_RC,5,Jan,177,114,59,39,0.6338,0.6252,768,10.65
LGBT,R_RC,4,Jan,177,114,59,39,0.5939,0.681,768,12.13
LGBT,C_ER,2,Jan,180,65,60,22,0.7585,0.8341,768,7.05
LGBT,C_ER,1,Jan,180,65,60,22,0.7703,0.7848,768,8.17
LGBT,R_RC,6,Jan,177,114,59,39,0.6039,0.54,768,11.83
LGBT,C_ER,3,Jan,180,65,60,22,0.7962,0.675,768,7.00
LGBT,R_RC,7,Jan,177,114,59,39,0.6249,0.6769,768,11.44
LGBT,R_RC,9,Jan,177,114,59,39,0.5712,0.6599,768,11.40
LGBT,R_RC,8,Jan,177,114,59,39,0.617,0.6037,768,11.54
LGBT,C_ER,4,Jan,180,65,60,22,0.7068,0.9106,768,7.43
LGBT,C_ER,5,Jan,180,65,60,22,0.7731,0.7492,768,6.70
LGBT,C_ER,6,Jan,180,65,60,22,0.7989,0.6833,768,7.06
LGBT,C_ER,7,Jan,180,65,60,22,0.7355,0.7886,768,6.70
LGBT,C_ER,9,Jan,180,65,60,22,0.7829,0.772,768,6.67
LGBT,C_ER,8,Jan,180,65,60,22,0.7731,0.7265,768,7.50
LGBT,C_R,2,Jan,180,177,60,59,0.7708,0.7062,768,11.44
LGBT,C_R,0,Jan,180,177,60,59,0.7167,0.74,768,12.18
LGBT,C_R,3,Jan,180,177,60,59,0.728,0.7821,768,12.09
LGBT,C_R,4,Jan,180,177,60,59,0.6923,0.7903,768,12.45
LGBT,C_R,1,Jan,180,177,60,59,0.7367,0.7477,768,15.19
LGBT,C_R,5,Jan,180,177,60,59,0.7483,0.7143,768,11.93
LGBT,C_R,6,Jan,180,177,60,59,0.7038,0.7732,768,12.31
LGBT,C_R,7,Jan,180,177,60,59,0.7507,0.7733,768,12.21
LGBT,C_R,8,Jan,180,177,60,59,0.7029,0.7566,768,12.14
LGBT,C_R,9,Jan,180,177,60,59,0.7448,0.7066,768,11.60
LGBT,C_RC,0,Jan,180,114,60,39,0.5272,0.6019,768,15.14
LGBT,C_RC,1,Jan,180,114,60,39,0.5176,0.6071,768,14.68
LGBT,C_LC,0,Jan,180,679,60,227,0.5956,0.634,768,8.88
LGBT,C_RC,2,Jan,180,114,60,39,0.5629,0.5301,768,15.07
LGBT,C_RC,3,Jan,180,114,60,39,0.5511,0.5731,768,15.34
LGBT,C_RC,5,Jan,180,114,60,39,0.5611,0.4545,768,13.12
LGBT,C_RC,4,Jan,180,114,60,39,0.556,0.5045,768,15.57
LGBT,C_RC,6,Jan,180,114,60,39,0.5172,0.5385,768,15.17
LGBT,C_LC,1,Jan,180,679,60,227,0.5638,0.6301,768,9.22
LGBT,C_RC,8,Jan,180,114,60,39,0.572,0.5571,768,13.78
LGBT,C_RC,7,Jan,180,114,60,39,0.5456,0.4801,768,15.25
LGBT,C_RC,9,Jan,180,114,60,39,0.5294,0.5865,768,14.94
LGBT,C_LC,2,Jan,180,679,60,227,0.6107,0.545,768,9.64
LGBT,C_LC,3,Jan,180,679,60,227,0.5841,0.6634,768,9.89
LGBT,C_LC,4,Jan,180,679,60,227,0.6045,0.6086,768,9.98
LGBT,C_LC,5,Jan,180,679,60,227,0.6177,0.5639,768,9.51
LGBT,C_LC,6,Jan,180,679,60,227,0.598,0.5941,768,9.89
LGBT,C_L,0,Jan,180,685,60,229,0.7118,0.7123,768,7.25
LGBT,C_LC,7,Jan,180,679,60,227,0.5848,0.5774,768,10.05
LGBT,C_L,1,Jan,180,685,60,229,0.6636,0.6746,768,8.56
LGBT,C_LC,9,Jan,180,679,60,227,0.5752,0.6017,768,9.04
LGBT,C_L,2,Jan,180,685,60,229,0.6908,0.7232,768,8.62
LGBT,C_LC,8,Jan,180,679,60,227,0.6112,0.5713,768,10.58
LGBT,C_L,3,Jan,180,685,60,229,0.7035,0.718,768,7.08
LGBT,C_L,4,Jan,180,685,60,229,0.6949,0.7424,768,7.54
LGBT,C_L,5,Jan,180,685,60,229,0.7144,0.6,768,8.10
LGBT,C_L,6,Jan,180,685,60,229,0.6861,0.7446,768,7.36
LGBT,C_L,7,Jan,180,685,60,229,0.7267,0.6408,768,7.88
LGBT,C_L,8,Jan,180,685,60,229,0.6835,0.7039,768,8.28
LGBT,C_L,9,Jan,180,685,60,229,0.7229,0.6833,768,8.01
LGBT,LC_R,1,Jan,679,177,227,59,0.6288,0.6555,768,8.73
LGBT,LC_R,0,Jan,679,177,227,59,0.683,0.6083,768,9.65
LGBT,LC_R,2,Jan,679,177,227,59,0.6356,0.598,768,9.96
LGBT,LC_R,3,Jan,679,177,227,59,0.6329,0.7204,768,9.93
LGBT,LC_R,4,Jan,679,177,227,59,0.6438,0.6717,768,8.89
LGBT,LC_R,5,Jan,679,177,227,59,0.6262,0.6651,768,9.18
LGBT,LC_R,7,Jan,679,177,227,59,0.6455,0.587,768,8.26
LGBT,LC_RC,0,Jan,679,115,227,38,0.5737,0.5522,768,7.55
LGBT,LC_R,6,Jan,679,177,227,59,0.638,0.6614,768,9.64
LGBT,LC_R,8,Jan,679,177,227,59,0.695,0.5939,768,9.22
LGBT,LC_R,9,Jan,679,177,227,59,0.6447,0.6309,768,8.95
LGBT,LC_RC,1,Jan,679,115,227,38,0.5513,0.5236,768,7.55
LGBT,LC_RC,2,Jan,679,115,227,38,0.5574,0.515,768,9.04
LGBT,LC_RC,3,Jan,679,115,227,38,0.5228,0.5345,768,8.23
LGBT,LC_RC,4,Jan,679,115,227,38,0.5348,0.5829,768,8.44
LGBT,LC_RC,5,Jan,679,115,227,38,0.5567,0.5369,768,8.20
LGBT,LC_RC,7,Jan,679,115,227,38,0.5491,0.6309,768,7.11
LGBT,LC_RC,6,Jan,679,115,227,38,0.5694,0.5301,768,7.92
LGBT,LC_RC,9,Jan,679,115,227,38,0.5499,0.5215,768,8.40
LGBT,LC_RC,8,Jan,679,115,227,38,0.536,0.46,768,8.67
LGBT,L_R,1,Jan,685,177,229,59,0.6407,0.6347,768,8.59
LGBT,L_R,0,Jan,685,177,229,59,0.6114,0.6051,768,9.54
LGBT,L_R,2,Jan,685,177,229,59,0.627,0.6683,768,8.97
LGBT,L_R,3,Jan,685,177,229,59,0.6308,0.7035,768,9.47
LGBT,L_R,4,Jan,685,177,229,59,0.6622,0.7049,768,8.90
LGBT,L_RC,0,Jan,685,115,229,38,0.6458,0.6693,768,5.82
LGBT,L_R,6,Jan,685,177,229,59,0.6745,0.6003,768,8.89
LGBT,L_R,5,Jan,685,177,229,59,0.6484,0.6357,768,9.48
LGBT,L_R,7,Jan,685,177,229,59,0.6684,0.6191,768,8.71
LGBT,L_R,8,Jan,685,177,229,59,0.6649,0.6674,768,9.26
LGBT,L_RC,1,Jan,685,115,229,38,0.6269,0.6693,768,6.69
LGBT,L_R,9,Jan,685,177,229,59,0.6593,0.6322,768,8.36
LGBT,L_RC,2,Jan,685,115,229,38,0.6175,0.6517,768,6.70
LGBT,L_RC,3,Jan,685,115,229,38,0.5972,0.6473,768,6.48
LGBT,L_RC,4,Jan,685,115,229,38,0.6653,0.6802,768,6.21
LGBT,L_RC,5,Jan,685,115,229,38,0.6494,0.6473,768,6.57
LGBT,L_RC,9,Jan,685,115,229,38,0.6407,0.6166,768,6.31
LGBT,L_RC,8,Jan,685,115,229,38,0.6842,0.5859,768,6.56
LGBT,L_RC,6,Jan,685,115,229,38,0.6661,0.6474,768,6.80
LGBT,L_RC,7,Jan,685,115,229,38,0.619,0.6759,768,7.07
LGBT,L_LC,2,Jan,685,680,229,226,0.6733,0.7011,768,18.65
LGBT,L_LC,0,Jan,685,680,229,226,0.6725,0.6812,768,20.10
LGBT,L_LC,3,Jan,685,680,229,226,0.6718,0.7009,768,19.05
LGBT,L_LC,1,Jan,686,679,228,227,0.6688,0.6659,768,19.93
LGBT,L_LC,4,Jan,685,680,229,226,0.674,0.6724,768,19.57
