topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
ClimateChange,ER_R,1,Jan,93,269,31,90,0.6235,0.5719,1978,1.15
ClimateChange,ER_R,3,Jan,93,269,31,90,0.5842,0.6047,1974,1.21
ClimateChange,ER_R,6,Jan,93,269,31,90,0.5734,0.5919,1971,1.13
ClimateChange,ER_R,4,Jan,93,269,31,90,0.5835,0.5946,1973,1.20
ClimateChange,ER_R,2,Jan,93,269,31,90,0.5962,0.5084,1969,1.28
ClimateChange,ER_R,5,Jan,93,269,31,90,0.6201,0.5986,1964,1.25
ClimateChange,ER_R,0,Jan,93,269,31,90,0.5917,0.583,1978,1.38
ClimateChange,ER_R,7,Jan,93,269,31,90,0.5923,0.5785,1983,1.16
ClimateChange,ER_R,9,Jan,93,269,31,90,0.6372,0.533,1979,1.13
ClimateChange,ER_R,8,Jan,93,269,31,90,0.6009,0.5613,1971,1.17
ClimateChange,ER_RC,0,Jan,93,385,31,129,0.7062,0.6877,1986,1.27
ClimateChange,ER_RC,1,Jan,93,385,31,129,0.7112,0.6793,1989,1.21
ClimateChange,ER_RC,2,Jan,93,385,31,129,0.6939,0.6515,1984,1.22
ClimateChange,ER_RC,3,Jan,93,385,31,129,0.6684,0.7883,1991,1.21
ClimateChange,ER_RC,5,Jan,93,385,31,129,0.6995,0.6754,1986,1.20
ClimateChange,ER_RC,4,Jan,93,385,31,129,0.6951,0.6432,1991,1.23
ClimateChange,ER_RC,7,Jan,93,385,31,129,0.6771,0.7154,1985,1.20
ClimateChange,ER_RC,6,Jan,93,385,31,129,0.6749,0.7677,1993,1.25
ClimateChange,ER_RC,9,Jan,93,385,31,129,0.6709,0.7026,1983,1.21
ClimateChange,ER_RC,8,Jan,93,385,31,129,0.6816,0.7044,1990,1.26
ClimateChange,ER_LC,1,Jan,93,1507,31,503,0.7069,0.6193,2000,2.83
ClimateChange,ER_LC,0,Jan,93,1507,31,503,0.6851,0.694,2000,2.96
ClimateChange,ER_L,0,Jan,93,467,31,156,0.646,0.7002,1996,1.43
ClimateChange,ER_LC,2,Jan,93,1507,31,503,0.6733,0.7049,2000,2.92
ClimateChange,ER_LC,4,Jan,93,1507,31,503,0.6835,0.7029,2000,2.85
ClimateChange,ER_LC,5,Jan,93,1507,31,503,0.7006,0.6203,2000,2.85
ClimateChange,ER_LC,3,Jan,93,1507,31,503,0.6876,0.7585,2000,3.16
ClimateChange,ER_LC,7,Jan,93,1507,31,503,0.6773,0.7292,2000,2.87
ClimateChange,ER_LC,6,Jan,93,1507,31,503,0.7106,0.7272,2000,3.05
ClimateChange,ER_LC,8,Jan,93,1507,31,503,0.6798,0.696,2000,2.94
ClimateChange,ER_L,2,Jan,93,467,31,156,0.687,0.5745,1987,1.42
ClimateChange,ER_L,1,Jan,93,467,31,156,0.6889,0.5873,1994,1.45
ClimateChange,ER_L,3,Jan,93,467,31,156,0.6456,0.7487,1994,1.44
ClimateChange,ER_LC,9,Jan,93,1507,31,503,0.6817,0.6486,2000,2.97
ClimateChange,ER_L,4,Jan,93,467,31,156,0.6415,0.6904,1987,1.41
ClimateChange,ER_L,5,Jan,93,467,31,156,0.647,0.5906,1991,1.39
ClimateChange,ER_L,6,Jan,93,467,31,156,0.6537,0.6873,1996,1.42
ClimateChange,ER_L,7,Jan,93,467,31,156,0.6552,0.6034,1994,1.48
ClimateChange,ER_L,8,Jan,93,467,31,156,0.6708,0.6291,1989,1.43
ClimateChange,ER_L,9,Jan,93,467,31,156,0.6824,0.6196,1992,1.42
ClimateChange,R_RC,0,Jan,269,385,90,129,0.706,0.6099,1992,1.70
ClimateChange,R_RC,1,Jan,269,385,90,129,0.6789,0.6926,1994,1.70
ClimateChange,R_RC,3,Jan,269,385,90,129,0.6699,0.6566,1995,1.65
ClimateChange,R_RC,2,Jan,269,385,90,129,0.6597,0.6981,1995,1.81
