topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
ClimateChange,ER_R,1,Jan,93,269,31,90,0.6331,0.5853,300,1.49
ClimateChange,ER_R,0,Jan,93,269,31,90,0.5851,0.5808,300,1.54
ClimateChange,ER_RC,0,Jan,93,385,31,129,0.748,0.7012,300,1.53
ClimateChange,ER_RC,4,Jan,93,385,31,129,0.7912,0.7567,300,1.53
ClimateChange,ER_R,5,Jan,93,269,31,90,0.571,0.6292,300,1.58
ClimateChange,ER_R,2,Jan,93,269,31,90,0.5966,0.5174,300,1.58
ClimateChange,ER_RC,5,Jan,93,385,31,129,0.7398,0.7786,300,1.56
ClimateChange,ER_R,3,Jan,93,269,31,90,0.5739,0.6142,300,1.64
ClimateChange,ER_RC,9,Jan,93,385,31,129,0.7194,0.8606,300,1.58
ClimateChange,ER_R,4,Jan,93,269,31,90,0.5976,0.5663,300,1.67
ClimateChange,ER_RC,7,Jan,93,385,31,129,0.7554,0.7857,300,1.63
ClimateChange,ER_R,6,Jan,93,269,31,90,0.5733,0.6065,300,2.34
ClimateChange,ER_R,8,Jan,93,269,31,90,0.6013,0.557,300,2.60
ClimateChange,ER_R,9,Jan,93,269,31,90,0.6036,0.5998,300,2.60
ClimateChange,ER_RC,2,Jan,93,385,31,129,0.7366,0.6857,300,2.61
ClimateChange,ER_R,7,Jan,93,269,31,90,0.58,0.5652,300,2.62
ClimateChange,ER_RC,3,Jan,93,385,31,129,0.7458,0.7818,300,2.67
ClimateChange,ER_RC,8,Jan,93,385,31,129,0.7518,0.8341,300,2.66
ClimateChange,ER_RC,1,Jan,93,385,31,129,0.7364,0.7812,300,2.69
ClimateChange,ER_RC,6,Jan,93,385,31,129,0.7338,0.818,300,2.70
ClimateChange,ER_L,0,Jan,93,467,31,156,0.6703,0.6649,300,1.96
ClimateChange,ER_L,2,Jan,93,467,31,156,0.7467,0.5684,300,2.07
ClimateChange,ER_L,1,Jan,93,467,31,156,0.6958,0.6714,300,2.52
