topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
GunControl,ER_RC,0,Jan,66,117,23,39,0.6004,0.6226,1495,0.47
GunControl,ER_R,1,Jan,67,307,22,103,0.6138,0.5327,1974,0.96
GunControl,ER_R,0,Jan,67,307,22,103,0.5943,0.6203,1970,1.01
GunControl,ER_R,2,Jan,67,307,22,103,0.5745,0.6657,1964,0.96
GunControl,ER_RC,1,Jan,66,117,23,39,0.6806,0.5201,1496,0.35
GunControl,ER_R,5,Jan,67,307,22,103,0.6532,0.5375,1980,0.97
GunControl,ER_R,4,Jan,67,307,22,103,0.584,0.6024,1964,1.02
GunControl,ER_R,3,Jan,67,307,22,103,0.5669,0.5975,1954,1.09
GunControl,ER_R,6,Jan,67,307,22,103,0.6363,0.5538,1970,1.04
GunControl,ER_R,9,Jan,67,307,22,103,0.6151,0.5715,1979,0.99
GunControl,ER_R,7,Jan,67,307,22,103,0.6014,0.583,1976,1.08
GunControl,ER_R,8,Jan,67,307,22,103,0.5927,0.5391,1973,1.07
GunControl,ER_RC,3,Jan,66,117,23,39,0.624,0.602,1487,0.37
GunControl,ER_RC,5,Jan,66,117,23,39,0.5915,0.5457,1516,0.31
GunControl,ER_RC,4,Jan,66,117,23,39,0.5786,0.5725,1503,0.42
GunControl,ER_RC,2,Jan,66,117,23,39,0.6072,0.5892,1503,0.45
GunControl,ER_RC,6,Jan,66,117,23,39,0.6221,0.6159,1497,0.36
GunControl,ER_RC,7,Jan,66,117,23,39,0.6127,0.5764,1506,0.37
GunControl,ER_RC,9,Jan,66,117,23,39,0.577,0.5713,1501,0.33
GunControl,ER_RC,8,Jan,66,117,23,39,0.6729,0.4972,1499,0.39
GunControl,ER_L,0,Jan,67,111,22,38,0.7767,0.7189,1530,0.24
GunControl,ER_L,1,Jan,67,111,22,38,0.6896,0.6675,1524,0.23
GunControl,ER_LC,0,Jan,67,355,22,119,0.7023,0.6877,1985,1.00
GunControl,ER_LC,1,Jan,67,355,22,119,0.7115,0.6853,1985,1.02
GunControl,ER_LC,2,Jan,67,355,22,119,0.6458,0.6919,1971,1.01
GunControl,ER_L,2,Jan,67,111,22,38,0.7164,0.6938,1533,0.28
GunControl,ER_LC,3,Jan,67,355,22,119,0.693,0.6297,1976,1.00
GunControl,ER_LC,4,Jan,67,355,22,119,0.6702,0.7349,1983,0.99
GunControl,ER_L,3,Jan,67,111,22,38,0.746,0.6579,1502,0.24
GunControl,ER_LC,9,Jan,67,355,22,119,0.7269,0.6314,1978,0.96
GunControl,ER_LC,8,Jan,67,355,22,119,0.6648,0.6154,1976,0.99
GunControl,ER_LC,6,Jan,67,355,22,119,0.6494,0.7122,1980,1.06
GunControl,ER_LC,7,Jan,67,355,22,119,0.6815,0.745,1995,1.03
GunControl,ER_L,4,Jan,67,111,22,38,0.7354,0.6603,1508,0.25
GunControl,ER_LC,5,Jan,67,355,22,119,0.67,0.5842,1977,1.14
GunControl,ER_L,5,Jan,67,111,22,38,0.685,0.6866,1511,0.28
GunControl,ER_L,7,Jan,67,111,22,38,0.7088,0.811,1524,0.24
GunControl,ER_L,6,Jan,67,111,22,38,0.7264,0.7129,1516,0.28
GunControl,ER_L,8,Jan,67,111,22,38,0.7069,0.573,1529,0.24
GunControl,ER_L,9,Jan,67,111,22,38,0.7203,0.7261,1532,0.23
