topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
GunControl,ER_RC,0,Jan,66,117,23,39,0.6836,0.6583,768,7.30
GunControl,ER_RC,1,Jan,66,117,23,39,0.7018,0.6683,768,6.09
GunControl,ER_R,4,Jan,67,307,22,103,0.6291,0.5944,768,15.46
GunControl,ER_R,2,Jan,67,307,22,103,0.6016,0.656,768,15.97
GunControl,ER_R,9,Jan,67,307,22,103,0.6636,0.6108,768,16.16
GunControl,ER_R,8,Jan,67,307,22,103,0.5693,0.6496,768,16.54
GunControl,ER_R,0,Jan,67,307,22,103,0.6219,0.5832,768,16.82
GunControl,ER_R,7,Jan,67,307,22,103,0.5945,0.6123,768,17.22
GunControl,ER_R,6,Jan,67,307,22,103,0.6395,0.6205,768,17.31
GunControl,ER_R,5,Jan,67,307,22,103,0.6413,0.5635,768,17.32
GunControl,ER_R,1,Jan,67,307,22,103,0.5982,0.5911,768,17.89
GunControl,ER_R,3,Jan,67,307,22,103,0.6167,0.7438,768,18.47
GunControl,ER_RC,2,Jan,66,117,23,39,0.7297,0.5981,768,5.83
GunControl,ER_RC,3,Jan,66,117,23,39,0.666,0.7848,768,6.85
GunControl,ER_RC,5,Jan,66,117,23,39,0.7398,0.6851,768,6.24
GunControl,ER_RC,4,Jan,66,117,23,39,0.6663,0.7146,768,6.60
GunControl,ER_RC,6,Jan,66,117,23,39,0.6776,0.7414,768,6.76
GunControl,ER_RC,9,Jan,66,117,23,39,0.7169,0.689,768,6.04
GunControl,ER_RC,7,Jan,66,117,23,39,0.6704,0.6711,768,6.57
GunControl,ER_RC,8,Jan,66,117,23,39,0.7392,0.7285,768,6.80
GunControl,ER_LC,0,Jan,67,355,22,119,0.728,0.7349,768,11.69
GunControl,ER_L,0,Jan,67,111,22,38,0.7255,0.6543,768,5.34
GunControl,ER_LC,2,Jan,67,355,22,119,0.746,0.6912,768,10.95
GunControl,ER_LC,1,Jan,67,355,22,119,0.7396,0.7947,768,13.21
GunControl,ER_LC,3,Jan,67,355,22,119,0.7268,0.8048,768,11.94
GunControl,ER_LC,7,Jan,67,355,22,119,0.7611,0.7366,768,11.30
GunControl,ER_L,1,Jan,67,111,22,38,0.6768,0.7129,768,5.73
GunControl,ER_L,2,Jan,67,111,22,38,0.7289,0.6806,768,5.47
GunControl,ER_LC,8,Jan,67,355,22,119,0.7413,0.7552,768,11.86
GunControl,ER_L,3,Jan,67,111,22,38,0.6855,0.7261,768,5.97
GunControl,ER_LC,9,Jan,67,355,22,119,0.7675,0.7779,768,12.32
GunControl,ER_LC,4,Jan,67,355,22,119,0.704,0.8132,768,13.61
GunControl,ER_LC,6,Jan,67,355,22,119,0.7326,0.8335,768,13.92
GunControl,ER_LC,5,Jan,67,355,22,119,0.725,0.7594,768,14.04
GunControl,ER_L,4,Jan,67,111,22,38,0.6907,0.6352,768,5.90
GunControl,ER_L,5,Jan,67,111,22,38,0.6945,0.7165,768,6.13
GunControl,ER_L,9,Jan,67,111,22,38,0.7406,0.6902,768,4.77
GunControl,ER_L,6,Jan,67,111,22,38,0.6519,0.8792,768,5.90
GunControl,ER_L,7,Jan,67,111,22,38,0.6771,0.7751,768,5.91
GunControl,ER_L,8,Jan,67,111,22,38,0.7371,0.6902,768,5.87
GunControl,C_ER,0,Jan,175,67,59,22,0.772,0.7816,768,7.24
GunControl,R_RC,2,Jan,307,117,103,39,0.727,0.6496,768,14.41
GunControl,R_RC,0,Jan,307,117,103,39,0.6281,0.738,768,15.61
GunControl,R_RC,4,Jan,307,117,103,39,0.6975,0.6001,768,14.93
GunControl,R_RC,6,Jan,307,117,103,39,0.6923,0.6323,768,14.10
GunControl,R_RC,3,Jan,307,117,103,39,0.6503,0.6992,768,15.06
GunControl,R_RC,1,Jan,307,117,103,39,0.6679,0.7013,768,15.95
GunControl,C_ER,1,Jan,175,67,59,22,0.8131,0.7223,768,6.97
GunControl,R_RC,5,Jan,307,117,103,39,0.6619,0.7071,768,18.20
GunControl,R_RC,7,Jan,307,117,103,39,0.6284,0.6815,768,15.30
GunControl,R_RC,9,Jan,307,117,103,39,0.6636,0.6177,768,15.29
GunControl,R_RC,8,Jan,307,117,103,39,0.6728,0.7234,768,16.78
GunControl,C_ER,2,Jan,175,67,59,22,0.7421,0.7901,768,7.27
GunControl,C_ER,3,Jan,175,67,59,22,0.78,0.7874,768,7.07
GunControl,C_ER,5,Jan,175,67,59,22,0.7671,0.7589,768,7.13
GunControl,C_ER,6,Jan,175,67,59,22,0.7974,0.7307,768,7.10
GunControl,C_ER,4,Jan,175,67,59,22,0.7435,0.8301,768,7.49
GunControl,C_ER,7,Jan,175,67,59,22,0.7852,0.7874,768,7.46
GunControl,C_ER,8,Jan,175,67,59,22,0.766,0.7904,768,7.10
GunControl,C_ER,9,Jan,175,67,59,22,0.8043,0.6171,768,7.94
GunControl,C_R,0,Jan,175,308,59,102,0.7121,0.7494,768,15.55
GunControl,C_R,1,Jan,176,307,58,103,0.7146,0.7354,768,16.39
GunControl,C_R,2,Jan,175,308,59,102,0.7382,0.6776,768,15.67
GunControl,C_R,4,Jan,175,308,59,102,0.7187,0.7276,768,15.98
GunControl,C_R,5,Jan,176,307,58,103,0.7192,0.7175,768,15.77
GunControl,C_R,6,Jan,175,308,59,102,0.7519,0.711,768,16.11
GunControl,C_R,3,Jan,175,308,59,102,0.7454,0.7481,768,17.17
GunControl,C_R,7,Jan,176,307,58,103,0.7437,0.7305,768,16.20
GunControl,C_R,8,Jan,176,307,58,103,0.7576,0.6523,768,16.05
