topic,comp,seed,month,num_tr1,num_tr2,num_te1,num_te2,val,test,num_feats,time
GunControl,ER_RC,1,Jan,66,117,23,39,0.6467,0.5953,300,1.50
GunControl,ER_RC,4,Jan,66,117,23,39,0.5904,0.6594,300,1.51
GunControl,ER_RC,9,Jan,66,117,23,39,0.6577,0.5251,300,1.51
GunControl,ER_RC,0,Jan,66,117,23,39,0.6118,0.675,300,1.53
GunControl,ER_RC,5,Jan,66,117,23,39,0.6569,0.5903,300,1.52
GunControl,ER_RC,2,Jan,66,117,23,39,0.7182,0.5123,300,1.56
GunControl,ER_RC,7,Jan,66,117,23,39,0.6292,0.5151,300,1.56
GunControl,ER_R,1,Jan,67,307,22,103,0.5906,0.5783,300,1.68
GunControl,ER_R,8,Jan,67,307,22,103,0.5791,0.5944,300,1.66
GunControl,ER_R,2,Jan,67,307,22,103,0.5937,0.6514,300,1.69
GunControl,ER_LC,0,Jan,67,355,22,119,0.7254,0.6702,300,1.64
GunControl,ER_LC,1,Jan,67,355,22,119,0.7005,0.7586,300,1.66
GunControl,ER_R,3,Jan,67,307,22,103,0.5966,0.692,300,1.77
GunControl,ER_RC,8,Jan,66,117,23,39,0.6557,0.6059,300,1.75
GunControl,ER_R,0,Jan,67,307,22,103,0.639,0.5783,300,1.81
GunControl,ER_R,5,Jan,67,307,22,103,0.6616,0.5571,300,1.80
GunControl,ER_RC,3,Jan,66,117,23,39,0.622,0.6722,300,1.81
GunControl,ER_RC,6,Jan,66,117,23,39,0.6406,0.6544,300,1.81
GunControl,ER_R,9,Jan,67,307,22,103,0.6298,0.5053,300,1.87
GunControl,ER_R,4,Jan,67,307,22,103,0.6005,0.6432,300,1.92
GunControl,ER_R,7,Jan,67,307,22,103,0.6024,0.5344,300,1.96
GunControl,ER_LC,2,Jan,67,355,22,119,0.7106,0.7408,300,2.10
GunControl,ER_R,6,Jan,67,307,22,103,0.6186,0.4795,300,2.33
GunControl,ER_L,1,Jan,67,111,22,38,0.6628,0.7416,300,1.11
GunControl,ER_L,4,Jan,67,111,22,38,0.6941,0.6447,300,1.05
GunControl,ER_LC,4,Jan,67,355,22,119,0.7118,0.7233,300,1.28
GunControl,ER_L,9,Jan,67,111,22,38,0.6995,0.6734,300,1.03
GunControl,ER_LC,6,Jan,67,355,22,119,0.6949,0.7553,300,1.34
GunControl,ER_LC,7,Jan,67,355,22,119,0.7325,0.7156,300,1.34
GunControl,ER_L,8,Jan,67,111,22,38,0.7234,0.5825,300,1.11
GunControl,ER_L,0,Jan,67,111,22,38,0.6831,0.622,300,1.24
GunControl,ER_LC,3,Jan,67,355,22,119,0.7185,0.7401,300,1.42
GunControl,ER_L,6,Jan,67,111,22,38,0.6607,0.7476,300,1.19
GunControl,ER_LC,5,Jan,67,355,22,119,0.6948,0.724,300,1.43
GunControl,ER_L,5,Jan,67,111,22,38,0.6712,0.6639,300,1.20
GunControl,ER_LC,8,Jan,67,355,22,119,0.743,0.618,300,1.38
GunControl,ER_LC,9,Jan,67,355,22,119,0.7188,0.7443,300,1.40
GunControl,ER_L,2,Jan,67,111,22,38,0.7223,0.6938,300,1.37
GunControl,ER_L,3,Jan,67,111,22,38,0.7039,0.6675,300,1.45
GunControl,ER_L,7,Jan,67,111,22,38,0.6828,0.7261,300,1.39
GunControl,R_RC,1,Jan,307,117,103,39,0.6394,0.6333,300,1.59
GunControl,R_RC,0,Jan,307,117,103,39,0.6225,0.7217,300,1.71
GunControl,R_RC,3,Jan,307,117,103,39,0.6709,0.6121,300,1.62
GunControl,R_RC,2,Jan,307,117,103,39,0.6692,0.6444,300,1.68
GunControl,R_RC,4,Jan,307,117,103,39,0.6413,0.5952,300,1.60
