k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
4,ER,R,1,ER-R,BoW,0.5566,0.0043,0.5942,0.0063,45,0.591,moderate (.4 .6],0.0376,Ideology
4,ER,R,1,ER-R,SBERT,0.5658,0.0052,0.6294,0.0057,45,0.5578,moderate (.4 .6],0.0636,Ideology
4,ER,RC,2,ER-RC,BoW,0.6417,0.0057,0.7213,0.0067,45,0.6194,strong (.6 .8],0.0796,Ideology
4,ER,RC,2,ER-RC,SBERT,0.6857,0.0063,0.7732,0.006,45,0.7637,strong (.6 .8],0.0875,Ideology
4,ER,C,3,ER-C,BoW,0.6489,0.0055,0.7328,0.0061,45,0.7341,strong (.6 .8],0.0838,Ideology
4,ER,C,3,ER-C,SBERT,0.6963,0.0058,0.7962,0.0057,45,0.6375,strong (.6 .8],0.0999,Ideology
4,ER,LC,4,ER-LC,BoW,0.6455,0.0052,0.7162,0.008,45,0.6754,strong (.6 .8],0.0707,Ideology
4,ER,LC,4,ER-LC,SBERT,0.6903,0.0056,0.7877,0.0054,45,0.6573,strong (.6 .8],0.0974,Ideology
4,ER,L,5,ER-L,BoW,0.6184,0.0048,0.7078,0.0081,45,0.5137,moderate (.4 .6],0.0893,Ideology
4,ER,L,5,ER-L,SBERT,0.632,0.005,0.7275,0.0053,45,0.7311,strong (.6 .8],0.0955,Ideology
4,R,RC,1,R-RC,BoW,0.589,0.0043,0.6687,0.0043,45,0.5009,moderate (.4 .6],0.0797,Ideology
4,R,RC,1,R-RC,SBERT,0.6102,0.0057,0.672,0.0051,45,0.7922,strong (.6 .8],0.0618,Ideology
4,R,C,2,R-C,BoW,0.606,0.0036,0.7048,0.0045,45,0.6955,strong (.6 .8],0.0988,Ideology
4,R,C,2,R-C,SBERT,0.6444,0.0047,0.7156,0.0053,45,0.8513,very strong (.8 1],0.0712,Ideology
4,R,LC,3,R-LC,BoW,0.5936,0.0053,0.699,0.0065,45,0.7985,strong (.6 .8],0.1054,Ideology
4,R,LC,3,R-LC,SBERT,0.6202,0.0068,0.6969,0.0062,45,0.8577,very strong (.8 1],0.0767,Ideology
4,R,L,4,R-L,BoW,0.6045,0.0039,0.7118,0.0043,45,0.5949,moderate (.4 .6],0.1073,Ideology
4,R,L,4,R-L,SBERT,0.6137,0.0054,0.691,0.0042,45,0.6069,strong (.6 .8],0.0773,Ideology
4,RC,C,1,RC-C,BoW,0.5527,0.0035,0.6249,0.0039,45,0.5938,moderate (.4 .6],0.0722,Ideology
4,RC,C,1,RC-C,SBERT,0.557,0.0044,0.6134,0.0049,45,0.569,moderate (.4 .6],0.0563,Ideology
4,RC,LC,2,RC-LC,BoW,0.5466,0.003,0.6075,0.0039,45,0.5168,moderate (.4 .6],0.0609,Ideology
4,RC,LC,2,RC-LC,SBERT,0.5459,0.0031,0.5978,0.0037,45,0.6305,strong (.6 .8],0.0519,Ideology
4,RC,L,3,RC-L,BoW,0.6127,0.0043,0.71,0.0042,45,0.4477,moderate (.4 .6],0.0973,Ideology
4,RC,L,3,RC-L,SBERT,0.6485,0.0047,0.7236,0.0043,45,0.6493,strong (.6 .8],0.0751,Ideology
4,C,LC,1,C-LC,BoW,0.5529,0.0025,0.6199,0.0035,45,0.3841,low (.2 .4],0.067,Ideology
4,C,LC,1,C-LC,SBERT,0.5617,0.0031,0.6087,0.0031,45,0.4838,moderate (.4 .6],0.047,Ideology
4,C,L,2,C-L,BoW,0.6057,0.0037,0.7017,0.0034,45,0.1209,negligible (-1 .2],0.096,Ideology
4,C,L,2,C-L,SBERT,0.6463,0.004,0.7258,0.0038,45,0.2968,low (.2 .4],0.0794,Ideology
4,LC,L,1,LC-L,BoW,0.583,0.0034,0.67,0.005,45,0.569,moderate (.4 .6],0.0871,Ideology
4,LC,L,1,LC-L,SBERT,0.615,0.0047,0.6805,0.0037,45,0.4553,moderate (.4 .6],0.0655,Ideology
8,ER,R,1,ER-R,BoW,0.5667,0.0047,0.5942,0.0063,45,0.7958,strong (.6 .8],0.0275,Ideology
8,ER,R,1,ER-R,SBERT,0.5863,0.0056,0.6294,0.0057,45,0.6461,strong (.6 .8],0.0431,Ideology
8,ER,RC,2,ER-RC,BoW,0.6634,0.0061,0.7213,0.0067,45,0.7007,strong (.6 .8],0.0579,Ideology
8,ER,RC,2,ER-RC,SBERT,0.7103,0.0071,0.7732,0.006,45,0.7834,strong (.6 .8],0.0629,Ideology
8,ER,C,3,ER-C,BoW,0.6732,0.0055,0.7328,0.0061,45,0.7692,strong (.6 .8],0.0596,Ideology
8,ER,C,3,ER-C,SBERT,0.7224,0.0052,0.7962,0.0057,45,0.7219,strong (.6 .8],0.0738,Ideology
8,ER,LC,4,ER-LC,BoW,0.6671,0.0047,0.7162,0.008,45,0.6882,strong (.6 .8],0.0492,Ideology
8,ER,LC,4,ER-LC,SBERT,0.7121,0.0056,0.7877,0.0054,45,0.6716,strong (.6 .8],0.0755,Ideology
8,ER,L,5,ER-L,BoW,0.6476,0.0052,0.7078,0.0081,45,0.726,strong (.6 .8],0.0601,Ideology
8,ER,L,5,ER-L,SBERT,0.666,0.0044,0.7275,0.0053,45,0.7462,strong (.6 .8],0.0616,Ideology
8,R,RC,1,R-RC,BoW,0.612,0.0041,0.6687,0.0043,45,0.6732,strong (.6 .8],0.0567,Ideology
8,R,RC,1,R-RC,SBERT,0.6268,0.0056,0.672,0.0051,45,0.8517,very strong (.8 1],0.0452,Ideology
8,R,C,2,R-C,BoW,0.6265,0.0043,0.7048,0.0045,45,0.7831,strong (.6 .8],0.0783,Ideology
8,R,C,2,R-C,SBERT,0.6594,0.005,0.7156,0.0053,45,0.8788,very strong (.8 1],0.0561,Ideology
8,R,LC,3,R-LC,BoW,0.6188,0.0052,0.699,0.0065,45,0.8514,very strong (.8 1],0.0802,Ideology
8,R,LC,3,R-LC,SBERT,0.6407,0.0061,0.6969,0.0062,45,0.8901,very strong (.8 1],0.0563,Ideology
8,R,L,4,R-L,BoW,0.6252,0.0041,0.7118,0.0043,45,0.723,strong (.6 .8],0.0866,Ideology
8,R,L,4,R-L,SBERT,0.6339,0.0051,0.691,0.0042,45,0.621,strong (.6 .8],0.0571,Ideology
8,RC,C,1,RC-C,BoW,0.5681,0.0038,0.6249,0.0039,45,0.6896,strong (.6 .8],0.0568,Ideology
8,RC,C,1,RC-C,SBERT,0.5732,0.0048,0.6134,0.0049,45,0.6401,strong (.6 .8],0.0402,Ideology
8,RC,LC,2,RC-LC,BoW,0.5635,0.0033,0.6075,0.0039,45,0.599,moderate (.4 .6],0.044,Ideology
8,RC,LC,2,RC-LC,SBERT,0.555,0.0031,0.5978,0.0037,45,0.6741,strong (.6 .8],0.0427,Ideology
8,RC,L,3,RC-L,BoW,0.6354,0.0038,0.71,0.0042,45,0.5013,moderate (.4 .6],0.0746,Ideology
8,RC,L,3,RC-L,SBERT,0.6698,0.0048,0.7236,0.0043,45,0.8087,very strong (.8 1],0.0537,Ideology
8,C,LC,1,C-LC,BoW,0.564,0.0026,0.6199,0.0035,45,0.4609,moderate (.4 .6],0.0559,Ideology
8,C,LC,1,C-LC,SBERT,0.5727,0.0031,0.6087,0.0031,45,0.6108,strong (.6 .8],0.036,Ideology
8,C,L,2,C-L,BoW,0.6234,0.0036,0.7017,0.0034,45,0.2808,low (.2 .4],0.0783,Ideology
8,C,L,2,C-L,SBERT,0.6657,0.0035,0.7258,0.0038,45,0.4266,moderate (.4 .6],0.0601,Ideology
8,LC,L,1,LC-L,BoW,0.6041,0.0033,0.67,0.005,45,0.4995,moderate (.4 .6],0.0659,Ideology
8,LC,L,1,LC-L,SBERT,0.6306,0.0047,0.6805,0.0037,45,0.573,moderate (.4 .6],0.0499,Ideology
16,ER,R,1,ER-R,BoW,0.5783,0.0052,0.5942,0.0063,45,0.7339,strong (.6 .8],0.0159,Ideology
16,ER,R,1,ER-R,SBERT,0.6001,0.0059,0.6294,0.0057,45,0.7927,strong (.6 .8],0.0293,Ideology
16,ER,RC,2,ER-RC,BoW,0.6898,0.0063,0.7213,0.0067,45,0.7239,strong (.6 .8],0.0314,Ideology
16,ER,RC,2,ER-RC,SBERT,0.7318,0.0068,0.7732,0.006,45,0.8507,very strong (.8 1],0.0414,Ideology
16,ER,C,3,ER-C,BoW,0.6979,0.006,0.7328,0.0061,45,0.783,strong (.6 .8],0.0348,Ideology
16,ER,C,3,ER-C,SBERT,0.7464,0.0051,0.7962,0.0057,45,0.7324,strong (.6 .8],0.0498,Ideology
16,ER,LC,4,ER-LC,BoW,0.6939,0.0054,0.7162,0.008,45,0.763,strong (.6 .8],0.0224,Ideology
16,ER,LC,4,ER-LC,SBERT,0.7376,0.0047,0.7877,0.0054,45,0.7403,strong (.6 .8],0.0501,Ideology
16,ER,L,5,ER-L,BoW,0.669,0.006,0.7078,0.0081,45,0.7831,strong (.6 .8],0.0387,Ideology
16,ER,L,5,ER-L,SBERT,0.6886,0.0046,0.7275,0.0053,45,0.8698,very strong (.8 1],0.0389,Ideology
16,R,RC,1,R-RC,BoW,0.6295,0.0044,0.6687,0.0043,45,0.7759,strong (.6 .8],0.0392,Ideology
16,R,RC,1,R-RC,SBERT,0.6422,0.0054,0.672,0.0051,45,0.8624,very strong (.8 1],0.0297,Ideology
16,R,C,2,R-C,BoW,0.6483,0.0045,0.7048,0.0045,45,0.8687,very strong (.8 1],0.0565,Ideology
16,R,C,2,R-C,SBERT,0.6765,0.0048,0.7156,0.0053,45,0.8985,very strong (.8 1],0.0391,Ideology
16,R,LC,3,R-LC,BoW,0.6409,0.0052,0.699,0.0065,45,0.8928,very strong (.8 1],0.0581,Ideology
16,R,LC,3,R-LC,SBERT,0.6567,0.0058,0.6969,0.0062,45,0.9089,very strong (.8 1],0.0402,Ideology
16,R,L,4,R-L,BoW,0.6534,0.004,0.7118,0.0043,45,0.6709,strong (.6 .8],0.0584,Ideology
16,R,L,4,R-L,SBERT,0.6541,0.0048,0.691,0.0042,45,0.7338,strong (.6 .8],0.0368,Ideology
16,RC,C,1,RC-C,BoW,0.5804,0.004,0.6249,0.0039,45,0.8436,very strong (.8 1],0.0445,Ideology
16,RC,C,1,RC-C,SBERT,0.5878,0.0046,0.6134,0.0049,45,0.7397,strong (.6 .8],0.0255,Ideology
16,RC,LC,2,RC-LC,BoW,0.5762,0.0035,0.6075,0.0039,45,0.6261,strong (.6 .8],0.0313,Ideology
16,RC,LC,2,RC-LC,SBERT,0.57,0.0035,0.5978,0.0037,45,0.778,strong (.6 .8],0.0277,Ideology
16,RC,L,3,RC-L,BoW,0.661,0.0034,0.71,0.0042,45,0.6551,strong (.6 .8],0.049,Ideology
16,RC,L,3,RC-L,SBERT,0.6875,0.0046,0.7236,0.0043,45,0.8029,very strong (.8 1],0.036,Ideology
16,C,LC,1,C-LC,BoW,0.5804,0.0027,0.6199,0.0035,45,0.584,moderate (.4 .6],0.0395,Ideology
16,C,LC,1,C-LC,SBERT,0.5872,0.003,0.6087,0.0031,45,0.5366,moderate (.4 .6],0.0216,Ideology
16,C,L,2,C-L,BoW,0.6465,0.0035,0.7017,0.0034,45,0.309,low (.2 .4],0.0552,Ideology
16,C,L,2,C-L,SBERT,0.6852,0.0029,0.7258,0.0038,45,0.4094,moderate (.4 .6],0.0406,Ideology
16,LC,L,1,LC-L,BoW,0.6218,0.0032,0.67,0.005,45,0.6323,strong (.6 .8],0.0482,Ideology
16,LC,L,1,LC-L,SBERT,0.6474,0.0039,0.6805,0.0037,45,0.6297,strong (.6 .8],0.0331,Ideology
32,ER,R,1,ER-R,BoW,0.5896,0.0056,0.5942,0.0063,45,0.836,very strong (.8 1],0.0046,Ideology
32,ER,R,1,ER-R,SBERT,0.612,0.0055,0.6294,0.0057,45,0.8424,very strong (.8 1],0.0174,Ideology
32,ER,RC,2,ER-RC,BoW,0.7084,0.0062,0.7213,0.0067,45,0.7796,strong (.6 .8],0.0129,Ideology
32,ER,RC,2,ER-RC,SBERT,0.7502,0.0066,0.7732,0.006,45,0.8643,very strong (.8 1],0.023,Ideology
32,ER,C,3,ER-C,BoW,0.7165,0.0056,0.7328,0.0061,45,0.7993,strong (.6 .8],0.0162,Ideology
32,ER,C,3,ER-C,SBERT,0.7699,0.0047,0.7962,0.0057,45,0.852,very strong (.8 1],0.0263,Ideology
32,ER,LC,4,ER-LC,BoW,0.7145,0.0052,0.7162,0.008,45,0.8002,very strong (.8 1],0.0017,Ideology
32,ER,LC,4,ER-LC,SBERT,0.7582,0.0041,0.7877,0.0054,45,0.7891,strong (.6 .8],0.0295,Ideology
32,ER,L,5,ER-L,BoW,0.6937,0.006,0.7078,0.0081,45,0.8537,very strong (.8 1],0.0141,Ideology
32,ER,L,5,ER-L,SBERT,0.7098,0.0043,0.7275,0.0053,45,0.8775,very strong (.8 1],0.0177,Ideology
32,R,RC,1,R-RC,BoW,0.6449,0.0044,0.6687,0.0043,45,0.7926,strong (.6 .8],0.0238,Ideology
32,R,RC,1,R-RC,SBERT,0.6547,0.005,0.672,0.0051,45,0.8713,very strong (.8 1],0.0173,Ideology
32,R,C,2,R-C,BoW,0.6651,0.0044,0.7048,0.0045,45,0.8917,very strong (.8 1],0.0397,Ideology
32,R,C,2,R-C,SBERT,0.6922,0.0047,0.7156,0.0053,45,0.9197,very strong (.8 1],0.0233,Ideology
32,R,LC,3,R-LC,BoW,0.6585,0.0055,0.699,0.0065,45,0.9291,very strong (.8 1],0.0405,Ideology
32,R,LC,3,R-LC,SBERT,0.6708,0.0058,0.6969,0.0062,45,0.9433,very strong (.8 1],0.0262,Ideology
32,R,L,4,R-L,BoW,0.6728,0.0042,0.7118,0.0043,45,0.7908,strong (.6 .8],0.039,Ideology
32,R,L,4,R-L,SBERT,0.67,0.0048,0.691,0.0042,45,0.8269,very strong (.8 1],0.021,Ideology
32,RC,C,1,RC-C,BoW,0.595,0.0041,0.6249,0.0039,45,0.8049,very strong (.8 1],0.0299,Ideology
32,RC,C,1,RC-C,SBERT,0.5976,0.0049,0.6134,0.0049,45,0.794,strong (.6 .8],0.0158,Ideology
32,RC,LC,2,RC-LC,BoW,0.5888,0.0036,0.6075,0.0039,45,0.7869,strong (.6 .8],0.0186,Ideology
32,RC,LC,2,RC-LC,SBERT,0.5823,0.0035,0.5978,0.0037,45,0.8309,very strong (.8 1],0.0154,Ideology
32,RC,L,3,RC-L,BoW,0.6782,0.0035,0.71,0.0042,45,0.7326,strong (.6 .8],0.0318,Ideology
32,RC,L,3,RC-L,SBERT,0.7016,0.0043,0.7236,0.0043,45,0.8895,very strong (.8 1],0.022,Ideology
32,C,LC,1,C-LC,BoW,0.5928,0.0028,0.6199,0.0035,45,0.7799,strong (.6 .8],0.0271,Ideology
32,C,LC,1,C-LC,SBERT,0.5973,0.0029,0.6087,0.0031,45,0.6596,strong (.6 .8],0.0114,Ideology
32,C,L,2,C-L,BoW,0.664,0.0032,0.7017,0.0034,45,0.5698,moderate (.4 .6],0.0377,Ideology
32,C,L,2,C-L,SBERT,0.699,0.0031,0.7258,0.0038,45,0.5277,moderate (.4 .6],0.0268,Ideology
32,LC,L,1,LC-L,BoW,0.6379,0.0037,0.67,0.005,45,0.7348,strong (.6 .8],0.0321,Ideology
32,LC,L,1,LC-L,SBERT,0.6574,0.0039,0.6805,0.0037,45,0.6838,strong (.6 .8],0.0231,Ideology
