k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
4,ER,R,1,ER-R,BoW,0.5221,0.0031,0.5942,0.0063,45,0.3632,low (.2 .4],0.0721,Ideology
4,ER,R,1,ER-R,SBERT,0.5279,0.003,0.6294,0.0057,45,0.5713,moderate (.4 .6],0.1014,Ideology
4,ER,RC,2,ER-RC,BoW,0.5663,0.0036,0.7213,0.0067,45,0.412,moderate (.4 .6],0.155,Ideology
4,ER,RC,2,ER-RC,SBERT,0.6032,0.0055,0.7732,0.006,45,0.6662,strong (.6 .8],0.17,Ideology
4,ER,C,3,ER-C,BoW,0.572,0.0034,0.7328,0.0061,45,0.3617,low (.2 .4],0.1608,Ideology
4,ER,C,3,ER-C,SBERT,0.6033,0.0049,0.7962,0.0057,45,0.5298,moderate (.4 .6],0.1929,Ideology
4,ER,LC,4,ER-LC,BoW,0.5682,0.0038,0.7162,0.008,45,0.4465,moderate (.4 .6],0.1481,Ideology
4,ER,LC,4,ER-LC,SBERT,0.5998,0.0049,0.7877,0.0054,45,0.5211,moderate (.4 .6],0.1878,Ideology
4,ER,L,5,ER-L,BoW,0.5548,0.0036,0.7078,0.0081,45,0.3512,low (.2 .4],0.153,Ideology
4,ER,L,5,ER-L,SBERT,0.5648,0.0033,0.7275,0.0053,45,0.4413,moderate (.4 .6],0.1627,Ideology
4,R,RC,1,R-RC,BoW,0.5348,0.0027,0.6687,0.0043,45,0.2262,low (.2 .4],0.1339,Ideology
4,R,RC,1,R-RC,SBERT,0.548,0.0035,0.672,0.0051,45,0.4997,moderate (.4 .6],0.124,Ideology
4,R,C,2,R-C,BoW,0.5365,0.0025,0.7048,0.0045,45,0.3026,low (.2 .4],0.1683,Ideology
4,R,C,2,R-C,SBERT,0.5583,0.0041,0.7156,0.0053,45,0.6656,strong (.6 .8],0.1572,Ideology
4,R,LC,3,R-LC,BoW,0.5366,0.0028,0.699,0.0065,45,0.7047,strong (.6 .8],0.1624,Ideology
4,R,LC,3,R-LC,SBERT,0.5528,0.0045,0.6969,0.0062,45,0.7479,strong (.6 .8],0.1441,Ideology
4,R,L,4,R-L,BoW,0.5412,0.0022,0.7118,0.0043,45,0.4518,moderate (.4 .6],0.1707,Ideology
4,R,L,4,R-L,SBERT,0.5476,0.0034,0.691,0.0042,45,0.3098,low (.2 .4],0.1434,Ideology
4,RC,C,1,RC-C,BoW,0.5206,0.0023,0.6249,0.0039,45,0.397,low (.2 .4],0.1043,Ideology
4,RC,C,1,RC-C,SBERT,0.521,0.0033,0.6134,0.0049,45,0.4417,moderate (.4 .6],0.0924,Ideology
4,RC,LC,2,RC-LC,BoW,0.5149,0.0024,0.6075,0.0039,45,0.2425,low (.2 .4],0.0925,Ideology
4,RC,LC,2,RC-LC,SBERT,0.5168,0.0022,0.5978,0.0037,45,0.3611,low (.2 .4],0.081,Ideology
4,RC,L,3,RC-L,BoW,0.5482,0.0033,0.71,0.0042,45,0.3131,low (.2 .4],0.1618,Ideology
4,RC,L,3,RC-L,SBERT,0.5658,0.0043,0.7236,0.0043,45,0.3809,low (.2 .4],0.1578,Ideology
4,C,LC,1,C-LC,BoW,0.5224,0.0019,0.6199,0.0035,45,0.217,low (.2 .4],0.0975,Ideology
4,C,LC,1,C-LC,SBERT,0.5233,0.0023,0.6087,0.0031,45,0.0864,negligible (-1 .2],0.0854,Ideology
4,C,L,2,C-L,BoW,0.5424,0.0027,0.7017,0.0034,45,0.2533,low (.2 .4],0.1593,Ideology
