topic,month,comp,n1,n2,units,vocab,jsd,cos,llr,top1,top2
GunControl,all,ER_R,1283,4479,tokens,8119,0.0484448,0.94446,19575.5,kill;mass;violenc;year;said;one;trump;report;presid;polic,bill;polic;would;violenc;right;said;one;'s;year;firearm
GunControl,all,ER_R,1283,4479,nouns,7224,0.0667853,0.9562352014325679050443795858882367610931396484,17874.6,state;violence;police;president;year;trump;shooting;control;law;people,police;violence;firearm;new;year;people;state;shooting;control;law
GunControl,all,ER_RC,1283,1810,tokens,6310,0.0765395,0.889851,23123.9,right;chicago;call;kill;one;presid;mass;trump;democrat;report,school;firearm;say;kill;citi;mass;'s;two;shot;one
GunControl,all,ER_RC,1283,1810,nouns,5278,0.105467,0.8789300630573972927805925792199559509754180908,21223.5,state;violence;police;president;year;trump;law;shooting;people;control,city;new;state;control;people;police;year;law;violence;shooting
GunControl,all,ER_LC,1283,6386,tokens,9696,0.0767861,0.897732,33999.3,senat;chicago;state;presid;one;report;call;trump;new;democrat,nation;us;shot;state;one;say;two;new;trump;school
GunControl,all,ER_LC,1283,6386,nouns,8697,0.105566,0.8688428776803895914326858473941683769226074219,32272,state;violence;police;shooting;law;control;year;people;president;trump,man;school;trump;control;law;people;violence;year;police;shooting
GunControl,all,ER_L,1283,2363,tokens,6923,0.068451,0.907754,23461.1,call;polic;kill;presid;one;state;democrat;law;report;new,nation;democrat;'s;new;kill;one;law;presid;state;school
GunControl,all,ER_L,1283,2363,nouns,5884,0.0952627,0.8648193280116757142295114135777112096548080444,21481.2,state;police;violence;president;year;law;control;people;shooting;trump,texas;law;school;control;president;year;violence;people;shooting;trump
GunControl,all,R_RC,4479,1810,tokens,8632,0.0558559,0.916859,29523.1,mass;presid;polic;would;bill;violenc;right;'s;firearm;democrat,say;shot;citi;firearm;two;kill;violenc;'s;polic;mass
GunControl,all,R_RC,4479,1810,nouns,7569,0.0757388,0.8994600588146105524245399465144146233797073364,26027.3,police;violence;people;firearm;year;shooting;control;law;new;state,city;new;state;control;violence;people;police;shooting;law;year
GunControl,all,C_ER,2894,1283,tokens,7087,0.0770777,0.895211,27904.2,us;offic;two;hous;school;trump;democrat;say;shot;new,senat;right;chicago;call;presid;new;one;trump;report;democrat
GunControl,all,C_ER,2894,1283,nouns,6169,0.104901,0.8660441051321711158905714000866282731294631958,26073,man;school;trump;control;law;shooting;people;police;year;violence,state;trump;violence;shooting;year;president;police;people;law;control
GunControl,all,C_R,2894,4479,tokens,9163,0.0566729,0.904298,40748,two;hous;say;democrat;school;shot;mass;kill;trump;polic,trump;mass;firearm;one;would;right;presid;bill;democrat;polic
GunControl,all,C_R,2894,4479,nouns,8260,0.0755015,0.8692194050051229581299594428855925798416137695,36395.5,man;school;control;police;people;shooting;violence;year;law;trump,police;violence;new;state;law;shooting;firearm;control;year;people
