Features,comp,Topic,k,Ideology,protos.random,n,comp1,comp2,Hop,protos,svm,diff,protos.diff,by
BoW,Apr-Aug,AsylumSeekers,4,C,0.506,10,Apr,Aug,4,0.5606,0.6542,0.0936,0.0545,Month
BoW,Apr-Aug,AsylumSeekers,4,ER,0.5406,10,Apr,Aug,4,0.5253,0.6083,0.0831,-0.0153,Month
BoW,Apr-Aug,AsylumSeekers,4,L,0.5503,10,Apr,Aug,4,0.5481,0.635,0.0869,-0.0023,Month
BoW,Apr-Aug,AsylumSeekers,4,LC,0.5173,10,Apr,Aug,4,0.5474,0.6625,0.1151,0.0301,Month
BoW,Apr-Aug,AsylumSeekers,4,R,0.5507,10,Apr,Aug,4,0.5664,0.6387,0.0723,0.0157,Month
BoW,Apr-Aug,AsylumSeekers,4,RC,0.4984,10,Apr,Aug,4,0.5558,0.6615,0.1057,0.0574,Month
BoW,Apr-Aug,AsylumSeekers,8,C,0.5029,10,Apr,Aug,4,0.588,0.6542,0.0662,0.0851,Month
BoW,Apr-Aug,AsylumSeekers,8,ER,0.4988,10,Apr,Aug,4,0.5541,0.6083,0.0543,0.0552,Month
BoW,Apr-Aug,AsylumSeekers,8,L,0.551,10,Apr,Aug,4,0.5934,0.635,0.0416,0.0424,Month
BoW,Apr-Aug,AsylumSeekers,8,LC,0.5238,10,Apr,Aug,4,0.5545,0.6625,0.108,0.0307,Month
BoW,Apr-Aug,AsylumSeekers,8,R,0.555,10,Apr,Aug,4,0.557,0.6387,0.0817,0.002,Month
BoW,Apr-Aug,AsylumSeekers,8,RC,0.5224,10,Apr,Aug,4,0.5627,0.6615,0.0988,0.0403,Month
BoW,Apr-Aug,AsylumSeekers,16,C,0.5296,10,Apr,Aug,4,0.6216,0.6542,0.0326,0.092,Month
BoW,Apr-Aug,AsylumSeekers,16,ER,0.5273,10,Apr,Aug,4,0.5532,0.6083,0.0551,0.0259,Month
BoW,Apr-Aug,AsylumSeekers,16,L,0.5509,10,Apr,Aug,4,0.6017,0.635,0.0333,0.0507,Month
BoW,Apr-Aug,AsylumSeekers,16,LC,0.5417,10,Apr,Aug,4,0.5862,0.6625,0.0763,0.0445,Month
BoW,Apr-Aug,AsylumSeekers,16,R,0.5627,10,Apr,Aug,4,0.5955,0.6387,0.0432,0.0328,Month
BoW,Apr-Aug,AsylumSeekers,16,RC,0.5397,10,Apr,Aug,4,0.6066,0.6615,0.0549,0.0669,Month
BoW,Apr-Aug,AsylumSeekers,32,C,0.5752,10,Apr,Aug,4,0.6408,0.6542,0.0133,0.0656,Month
BoW,Apr-Aug,AsylumSeekers,32,ER,0.5419,10,Apr,Aug,4,0.5675,0.6083,0.0408,0.0257,Month
BoW,Apr-Aug,AsylumSeekers,32,L,0.5867,10,Apr,Aug,4,0.602,0.635,0.0329,0.0153,Month
BoW,Apr-Aug,AsylumSeekers,32,LC,0.5606,10,Apr,Aug,4,0.599,0.6625,0.0634,0.0385,Month
BoW,Apr-Aug,AsylumSeekers,32,R,0.5657,10,Apr,Aug,4,0.6241,0.6387,0.0146,0.0584,Month
BoW,Apr-Aug,AsylumSeekers,32,RC,0.5739,10,Apr,Aug,4,0.642,0.6615,0.0195,0.0681,Month
BoW,Apr-Aug,ClimateChange,4,C,0.5189,10,Apr,Aug,4,0.5791,0.6693,0.0902,0.0603,Month
