k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
4,Jan,Feb,1,Jan-Feb,BoW,0.5685,0.0063,0.6333,0.0068,30,0.8103,very strong (.8 1],0.0648,Month
4,Jan,Feb,1,Jan-Feb,SBERT,0.5556,0.0066,0.6025,0.0071,30,0.7471,strong (.6 .8],0.0469,Month
4,Jan,Mar,2,Jan-Mar,BoW,0.5856,0.0071,0.6634,0.0077,30,0.7237,strong (.6 .8],0.0778,Month
4,Jan,Mar,2,Jan-Mar,SBERT,0.5672,0.0067,0.6222,0.0076,30,0.7307,strong (.6 .8],0.0551,Month
4,Jan,Apr,3,Jan-Apr,BoW,0.5788,0.0081,0.6691,0.0102,30,0.7586,strong (.6 .8],0.0903,Month
4,Jan,Apr,3,Jan-Apr,SBERT,0.5726,0.0071,0.634,0.0093,30,0.7738,strong (.6 .8],0.0614,Month
4,Jan,May,4,Jan-May,BoW,0.5786,0.0062,0.6763,0.0077,30,0.7514,strong (.6 .8],0.0977,Month
4,Jan,May,4,Jan-May,SBERT,0.5766,0.0062,0.6356,0.0079,30,0.7496,strong (.6 .8],0.059,Month
4,Jan,Jun,5,Jan-Jun,BoW,0.5962,0.0072,0.6833,0.0072,30,0.6613,strong (.6 .8],0.0871,Month
4,Jan,Jun,5,Jan-Jun,SBERT,0.5815,0.0059,0.6487,0.0075,30,0.6779,strong (.6 .8],0.0672,Month
4,Jan,Jul,6,Jan-Jul,BoW,0.59,0.0077,0.6864,0.0082,30,0.7923,strong (.6 .8],0.0964,Month
4,Jan,Jul,6,Jan-Jul,SBERT,0.5798,0.0068,0.6432,0.0074,30,0.82,very strong (.8 1],0.0633,Month
4,Jan,Aug,7,Jan-Aug,BoW,0.5993,0.0087,0.694,0.0097,30,0.8005,very strong (.8 1],0.0948,Month
4,Jan,Aug,7,Jan-Aug,SBERT,0.5891,0.0078,0.6607,0.0083,30,0.8346,very strong (.8 1],0.0716,Month
4,Jan,Sep,8,Jan-Sep,BoW,0.6131,0.0085,0.6998,0.0092,30,0.7697,strong (.6 .8],0.0867,Month
4,Jan,Sep,8,Jan-Sep,SBERT,0.6044,0.0091,0.6602,0.01,30,0.8128,very strong (.8 1],0.0558,Month
4,Feb,Mar,1,Feb-Mar,BoW,0.5729,0.0089,0.6464,0.0107,30,0.7858,strong (.6 .8],0.0735,Month
4,Feb,Mar,1,Feb-Mar,SBERT,0.564,0.0085,0.616,0.0099,30,0.8876,very strong (.8 1],0.052,Month
4,Feb,Apr,2,Feb-Apr,BoW,0.5925,0.0065,0.6792,0.0091,30,0.7152,strong (.6 .8],0.0867,Month
4,Feb,Apr,2,Feb-Apr,SBERT,0.573,0.006,0.6328,0.0069,30,0.718,strong (.6 .8],0.0598,Month
4,Feb,May,3,Feb-May,BoW,0.5852,0.0065,0.6772,0.0075,30,0.6948,strong (.6 .8],0.0919,Month
4,Feb,May,3,Feb-May,SBERT,0.5696,0.0048,0.6407,0.0065,30,0.7231,strong (.6 .8],0.0711,Month
4,Feb,Jun,4,Feb-Jun,BoW,0.6064,0.0084,0.6891,0.0076,30,0.6522,strong (.6 .8],0.0827,Month
4,Feb,Jun,4,Feb-Jun,SBERT,0.5821,0.0055,0.6471,0.0068,30,0.7911,strong (.6 .8],0.065,Month
4,Feb,Jul,5,Feb-Jul,BoW,0.604,0.008,0.6937,0.008,30,0.6132,strong (.6 .8],0.0897,Month
4,Feb,Jul,5,Feb-Jul,SBERT,0.5817,0.0061,0.6472,0.0063,30,0.688,strong (.6 .8],0.0655,Month
4,Feb,Aug,6,Feb-Aug,BoW,0.6025,0.0076,0.7026,0.009,30,0.8079,very strong (.8 1],0.1001,Month
4,Feb,Aug,6,Feb-Aug,SBERT,0.5815,0.007,0.6583,0.0086,30,0.8137,very strong (.8 1],0.0768,Month
4,Feb,Sep,7,Feb-Sep,BoW,0.616,0.0066,0.7062,0.0094,30,0.844,very strong (.8 1],0.0902,Month
4,Feb,Sep,7,Feb-Sep,SBERT,0.5997,0.0069,0.6658,0.0081,30,0.6619,strong (.6 .8],0.0661,Month
4,Mar,Apr,1,Mar-Apr,BoW,0.563,0.0065,0.6459,0.0078,30,0.6512,strong (.6 .8],0.0829,Month
4,Mar,Apr,1,Mar-Apr,SBERT,0.5589,0.0066,0.6117,0.0074,30,0.6655,strong (.6 .8],0.0528,Month
4,Mar,May,2,Mar-May,BoW,0.5749,0.0075,0.6621,0.0058,30,0.6638,strong (.6 .8],0.0872,Month
