topic,ideology,comp,n1,n2,units,vocab,jsd,cos,llr,top1,top2
GunControl,all,Jan_Feb,1512,2093,tokens,6588,0.0631242,0.915046,22192.8,bill;firearm;shot;offic;democrat;hous;school;'s;kill;new,parkland;one;bill;trump;kill;'s;new;school;hous;democrat
GunControl,all,Jan_Feb,1512,2093,nouns,5571,0.0843973,0.918527,19644.7,man;school;violence;state;people;law;shooting;police;year;control,people;state;law;school;shooting;house;control;violence;year;police
GunControl,all,Jan_Mar,1512,2213,tokens,6761,0.0813525,0.828386,29294.5,bill;hous;shot;democrat;firearm;offic;violenc;kill;polic;school,kill;firearm;school;attack;zealand;two;mosqu;polic;christchurch;one
GunControl,all,Jan_Mar,1512,2213,nouns,5690,0.110888,0.792767,26430.7,man;school;control;violence;people;law;police;shooting;state;year,year;christchurch;mosque;shooting;police;people;new;zealand;law;control
GunControl,all,Jan_Apr,1512,1480,tokens,6128,0.0713766,0.917439,21209.9,citi;bill;hous;firearm;shot;democrat;kill;violenc;school;offic,man;hous;two;violenc;school;shot;kill;old;one;bill
GunControl,all,Jan_Apr,1512,1480,nouns,5102,0.0954433,0.919814,18801.5,man;school;violence;people;state;police;law;shooting;year;control,bill;people;new;school;shooting;law;violence;control;police;year
GunControl,all,Jan_May,1512,1594,tokens,6328,0.0760702,0.889794,23966.1,firearm;peopl;polic;democrat;offic;violenc;new;kill;school;state,democrat;peopl;state;kill;new;two;violenc;school;polic;student
GunControl,all,Jan_May,1512,1594,nouns,5259,0.105023,0.872744,21344.2,man;school;violence;law;year;shooting;police;state;people;control,man;people;violence;school;control;police;year;shooting;student;law
GunControl,all,Jan_Jun,1512,1322,tokens,5956,0.0786956,0.870038,21985.9,citi;bill;hous;offic;new;firearm;school;law;shot;democrat,offic;say;democrat;citi;shot;law;virginia;beach;one;new
GunControl,all,Jan_Jun,1512,1322,nouns,4952,0.106884,0.861639,19763.5,man;school;state;violence;people;shooting;law;police;control;year,law;city;year;beach;virginia;police;people;control;violence;shooting
GunControl,all,Jan_Jul,1512,1146,tokens,5816,0.0834834,0.85856,21618.7,hous;shot;firearm;democrat;offic;state;new;school;'s;law,man;california;new;old;law;gilroy;state;festiv;'s;shot
GunControl,all,Jan_Jul,1512,1146,nouns,4747,0.113171,0.850662,19210.8,man;violence;people;state;law;school;shooting;control;police;year,man;festival;gilroy;control;law;people;shooting;police;year;violence
GunControl,all,Jan_Aug,1512,5346,tokens,8903,0.0809299,0.8642,38366.8,bill;hous;shot;firearm;offic;polic;state;democrat;new;school,two;new;state;us;democrat;ohio;polic;dayton;call;texa
GunControl,all,Jan_Aug,1512,5346,nouns,7836,0.118781,0.770831,37715.3,man;school;violence;state;law;people;shooting;control;police;year,law;president;police;paso;el;shooting;violence;control;people;trump
GunControl,all,Jan_Sep,1512,2509,tokens,7016,0.084539,0.849462,32025.4,bill;hous;shot;firearm;offic;democrat;kill;new;polic;school,say;report;one;new;mass;trump;polic;texa;democrat;kill
GunControl,all,Jan_Sep,1512,2509,nouns,5927,0.114371,0.835221,28378.5,man;school;violence;state;law;people;shooting;control;year;police,state;year;police;shooting;violence;law;trump;texas;people;control
GunControl,all,Feb_Mar,2093,2213,tokens,7059,0.0811809,0.797094,35657.6,aurora;bill;parkland;trump;kill;violenc;polic;democrat;school;hous,nation;firearm;kill;school;mosqu;two;attack;christchurch;zealand;polic
GunControl,all,Feb_Mar,2093,2213,nouns,6039,0.111937,0.754677,33076.8,people;control;house;state;year;police;law;violence;school;shooting,year;christchurch;police;mosque;people;new;law;zealand;shooting;control
GunControl,all,Feb_Apr,2093,1480,tokens,6511,0.0785113,0.863353,27414.8,presid;aurora;parkland;trump;new;kill;bill;school;hous;democrat,firearm;man;hous;shot;kill;old;new;bill;school;two
GunControl,all,Feb_Apr,2093,1480,nouns,5514,0.104494,0.871849,24560.1,people;state;law;school;police;house;control;violence;shooting;year,bill;people;school;new;shooting;violence;year;police;control;law
GunControl,all,Feb_May,2093,1594,tokens,6641,0.0814764,0.845113,30073.6,parkland;bill;peopl;kill;democrat;polic;new;hous;trump;school,shot;firearm;peopl;democrat;school;new;two;polic;student;kill
GunControl,all,Feb_May,2093,1594,nouns,5620,0.111224,0.837768,27096.2,people;state;school;law;house;violence;police;year;control;shooting,man;people;school;law;violence;year;shooting;student;control;police
GunControl,all,Feb_Jun,2093,1322,tokens,6337,0.086822,0.802518,28011.2,check;presid;aurora;parkland;bill;trump;democrat;hous;school;new,man;call;offic;democrat;new;shot;say;citi;virginia;beach
GunControl,all,Feb_Jun,2093,1322,nouns,5343,0.11654,0.810533,25402.3,people;state;law;shooting;control;year;police;violence;school;house,law;city;year;beach;control;people;violence;virginia;shooting;police
GunControl,all,Feb_Jul,2093,1146,tokens,6197,0.0989229,0.775555,29145.8,aurora;one;school;new;'s;parkland;democrat;bill;trump;hous,democrat;one;shot;old;man;california;new;festiv;'s;gilroy
GunControl,all,Feb_Jul,2093,1146,nouns,5128,0.131856,0.787677,26041.9,people;school;law;state;house;violence;control;year;police;shooting,man;gilroy;control;year;violence;shooting;police;people;festival;law
GunControl,all,Feb_Aug,2093,5346,tokens,9121,0.0862249,0.793227,53172,parkland;one;state;hous;kill;school;new;democrat;polic;bill,state;democrat;ohio;call;polic;paso;el;dayton;kill;texa
