target,model,f_none,f_favor,f_against,official,bacc
Atheism,os1_wtL0,0.4091,0.4359,0.7664,0.6012,0.6101
Atheism,os1_wtL0_refit,0.4941,0.4828,0.7687,0.6257,0.6833
Atheism,os0_wtL1,0.4419,0.4884,0.7836,0.636,0.6637
Atheism,os0_wtL1_refit,0.4884,0.4884,0.7761,0.6322,0.6854
Atheism,os0_wtL0,0.4478,0.3214,0.8328,0.5771,0.5473
Atheism,os0_wtL0_refit,0.4286,0.3934,0.822,0.6077,0.5682
Climate Change is a Real Concern,os1_wtL0,0.625,0.8477,nan,nan,0.5172
Climate Change is a Real Concern,os1_wtL0_refit,0.6053,0.8347,nan,nan,0.4928
Climate Change is a Real Concern,os0_wtL1,0.6329,0.8502,nan,nan,0.5226
Climate Change is a Real Concern,os0_wtL1_refit,0.6329,0.8502,nan,nan,0.5226
Climate Change is a Real Concern,os0_wtL0,0.6567,0.8769,nan,nan,0.5185
Climate Change is a Real Concern,os0_wtL0_refit,0.6575,0.874,nan,nan,0.5294
Feminist Movement,os1_wtL0,0.5273,0.4342,0.6429,0.5385,0.5897
Feminist Movement,os1_wtL0_refit,0.5,0.4516,0.5964,0.524,0.6157
Feminist Movement,os0_wtL1,0.5179,0.4138,0.5634,0.4886,0.5723
Feminist Movement,os0_wtL1_refit,0.5688,0.4072,0.619,0.5131,0.596
Feminist Movement,os0_wtL0,0.3947,0.3676,0.7039,0.5358,0.4868
Feminist Movement,os0_wtL0_refit,0.4304,0.4275,0.7333,0.5804,0.5301
Hillary Clinton,os1_wtL0,0.535,0.4062,0.682,0.5441,0.5736
Hillary Clinton,os1_wtL0_refit,0.5562,0.3962,0.6921,0.5441,0.5677
Hillary Clinton,os0_wtL1,0.5562,0.4381,0.7025,0.5703,0.5863
Hillary Clinton,os0_wtL1_refit,0.5629,0.4118,0.7103,0.561,0.5773
Hillary Clinton,os0_wtL0,0.4553,0.4058,0.7739,0.5898,0.5218
Hillary Clinton,os0_wtL0_refit,0.45,0.2899,0.7531,0.5215,0.4821
Legalization of Abortion,os1_wtL0,0.4258,0.5234,0.5973,0.5603,0.6043
Legalization of Abortion,os1_wtL0_refit,0.443,0.5085,0.5939,0.5512,0.6153
Legalization of Abortion,os0_wtL1,0.4204,0.4828,0.5436,0.5132,0.5849
Legalization of Abortion,os0_wtL1_refit,0.4444,0.5357,0.6034,0.5696,0.6262
Legalization of Abortion,os0_wtL0,0.4576,0.3582,0.7413,0.5498,0.5321
Legalization of Abortion,os0_wtL0_refit,0.4538,0.4722,0.7425,0.6074,0.5648
all,os1_wtL0,0.4983,0.5847,0.6617,0.6232,0.6251
all,os1_wtL0_refit,0.5137,0.5876,0.6507,0.6191,0.6361
all,os0_wtL1,0.5075,0.5852,0.641,0.6131,0.6297
all,os0_wtL1_refit,0.532,0.591,0.6689,0.63,0.6459
all,os0_wtL0,0.4745,0.5918,0.7553,0.6736,0.6027
all,os0_wtL0_refit,0.4772,0.6065,0.7545,0.6805,0.6096
